image_size,arm,map_mixed,map50_mixed,map_real,map50_real,infer_ms,e2e_ms,gflops,peak_rss_mb
640,no-retraining,0.6134342039758608,0.6742352880892366,0.548319556187538,0.6170982502807932,401.2642,423.4849,6.8065664,284.4
512,no-retraining,0.5798919589669196,0.642966011181826,0.5043950408674747,0.5752653926610006,269.3937,283.1191,4.327890944,259.6
416,no-retraining,0.5379361710212789,0.600692442756294,0.45288943744012905,0.5216077935305973,172.1043,179.8272,2.845792352,240.6
320,no-retraining,0.4609083083267102,0.5220258088160209,0.3540828845921403,0.4184680265497216,102.5249,109.0234,1.6786016,226.2
320,resolution-native,0.5175436826831964,0.5842587081019315,0.4374695163729701,0.5119705454081279,102.5249,109.0234,1.6786016,226.2
