expected_class,predicted_common,predicted_scientific,count,match_level,review_decision
common_warthog,african buffalo,syncerus caffer,1,order,lookalike
american_bison,white-tailed deer,odocoileus virginianus,28,order,lookalike
american_bison,red deer,cervus elaphus,24,order,lookalike
american_bison,domestic horse,equus caballus,11,class,different
american_bison,wild boar,sus scrofa,8,order,lookalike
american_bison,domestic dog,canis familiaris,6,class,different
american_bison,mule deer,odocoileus hemionus,5,order,lookalike
american_bison,american black bear,ursus americanus,3,class,different
american_bison,european roe deer,capreolus capreolus,2,order,lookalike
american_bison,coyote,canis latrans,2,class,different
american_bison,hylobatidae family,,2,class,skip
american_bison,sika deer,cervus nippon,1,order,lookalike
american_bison,human,homo sapiens,1,class,skip
american_bison,domestic cat,felis catus,1,class,different
american_bison,lion,panthera leo,1,class,different
american_bison,arizona black-tailed prairie dog,cynomys ludovicianus,1,class,different
lion,domestic cattle,bos taurus,25,class,different
lion,white-tailed deer,odocoileus virginianus,19,class,different
lion,domestic dog,canis familiaris,6,order,lookalike
lion,mule deer,odocoileus hemionus,5,class,different
lion,arizona black-tailed prairie dog,cynomys ludovicianus,5,class,different
lion,red deer,cervus elaphus,3,class,different
lion,coyote,canis latrans,3,order,lookalike
lion,spotted hyaena,crocuta crocuta,3,order,lookalike
lion,plains zebra,equus quagga,3,class,different
lion,common eland,tragelaphus oryx,2,class,different
lion,common wildebeest,connochaetes taurinus,2,class,different
lion,impala,aepyceros melampus,2,class,different
lion,canis species,canis,2,order,lookalike
lion,hartebeest,alcelaphus buselaphus,1,class,different
lion,giraffe,giraffa camelopardalis,1,class,different
lion,kinda baboon,papio kindae,1,class,different
lion,dhole,cuon alpinus,1,order,lookalike
lion,odocoileus species,odocoileus,1,class,different
lion,grey wolf,canis lupus,1,order,lookalike
lion,domestic horse,equus caballus,1,class,different
sea_otter,north american river otter,lontra canadensis,32,no_match,lookalike
sea_otter,giant otter,pteronura brasiliensis,31,no_match,lookalike
sea_otter,nutria,myocastor coypus,25,no_match,different
sea_otter,american beaver,castor canadensis,5,no_match,different
sea_otter,domestic cattle,bos taurus,2,no_match,different
sea_otter,muskrat,ondatra zibethicus,2,no_match,different
sea_otter,capybara,hydrochoerus hydrochaeris,2,no_match,different
sea_otter,northern raccoon,procyon lotor,1,no_match,different
sea_otter,common wildebeest,connochaetes taurinus,1,no_match,different
sea_otter,lion,panthera leo,1,no_match,different
sea_otter,western gray kangaroo,macropus fuliginosus,1,no_match,different
sea_otter,domestic goat,capra aegagrus hircus,1,no_match,different
sea_otter,white-tailed deer,odocoileus virginianus,1,no_match,different
sea_otter,common warthog,phacochoerus africanus,1,no_match,different
blackbuck,white-tailed deer,odocoileus virginianus,25,no_match,lookalike
blackbuck,springbok,antidorcas marsupialis,13,no_match,lookalike
blackbuck,pronghorn,antilocapra americana,12,no_match,lookalike
blackbuck,thomson's gazelle,eudorcas thomsonii,11,no_match,lookalike
blackbuck,impala,aepyceros melampus,10,no_match,lookalike
blackbuck,grant's gazelle,nanger granti,9,no_match,lookalike
blackbuck,domestic cattle,bos taurus,6,no_match,lookalike
blackbuck,mule deer,odocoileus hemionus,5,no_match,lookalike
blackbuck,guenther's dik-dik,madoqua guentheri,4,no_match,lookalike
blackbuck,domestic goat,capra aegagrus hircus,3,no_match,lookalike
blackbuck,common fallow deer,dama dama,3,no_match,lookalike
blackbuck,mountain gazelle,gazella gazella,2,no_match,lookalike
blackbuck,red deer,cervus elaphus,2,no_match,lookalike
blackbuck,european roe deer,capreolus capreolus,2,no_match,lookalike
blackbuck,domestic sheep,ovis aries,2,no_match,lookalike
blackbuck,gemsbok,oryx gazella,2,no_match,lookalike
blackbuck,domestic horse,equus caballus,1,no_match,different
blackbuck,northern red muntjac,muntiacus vaginalis,1,no_match,lookalike
blackbuck,blue sheep,pseudois nayaur,1,no_match,lookalike
blackbuck,wild goat,capra aegagrus,1,no_match,lookalike
blackbuck,steenbok,raphicerus campestris,1,no_match,lookalike
reindeer,domestic cattle,bos taurus,27,order,lookalike
reindeer,pronghorn,antilocapra americana,25,order,lookalike
reindeer,bighorn sheep,ovis canadensis,13,order,lookalike
reindeer,capra species,capra,11,order,skip
reindeer,blue sheep,pseudois nayaur,8,order,lookalike
reindeer,domestic goat,capra aegagrus hircus,5,order,lookalike
reindeer,domestic sheep,ovis aries,5,order,lookalike
reindeer,alpine ibex,capra ibex,5,order,lookalike
reindeer,domestic dog,canis familiaris,3,class,different
reindeer,domestic horse,equus caballus,3,class,lookalike
reindeer,northern chamois,rupicapra rupicapra,3,order,lookalike
reindeer,coyote,canis latrans,2,class,different
reindeer,domestic donkey,equus asinus,2,class,lookalike
reindeer,common wildebeest,connochaetes taurinus,1,order,lookalike
reindeer,gemsbok,oryx gazella,1,order,lookalike
reindeer,grey wolf,canis lupus,1,class,different
reindeer,guenther's dik-dik,madoqua guentheri,1,order,lookalike
reindeer,wild goat,capra aegagrus,1,order,lookalike
reindeer,przewalski's horse,equus ferus,1,class,lookalike
reindeer,giraffe,giraffa camelopardalis,1,order,lookalike
domestic_cattle,white-tailed deer,odocoileus virginianus,28,order,lookalike
domestic_cattle,domestic horse,equus caballus,21,class,different
domestic_cattle,human,homo sapiens,14,class,skip
domestic_cattle,red deer,cervus elaphus,6,order,lookalike
domestic_cattle,domestic dog,canis familiaris,5,class,different
domestic_cattle,mule deer,odocoileus hemionus,4,order,lookalike
domestic_cattle,wild boar,sus scrofa,2,order,lookalike
domestic_cattle,przewalski's horse,equus ferus,1,class,different
domestic_cattle,plains zebra,equus quagga,1,class,different
domestic_cattle,coyote,canis latrans,1,class,different
domestic_cattle,eastern fox squirrel,sciurus niger,1,class,different
domestic_cattle,common warthog,phacochoerus africanus,1,order,lookalike
domestic_cattle,domestic donkey,equus asinus,1,class,different
asian_elephant,domestic cattle,bos taurus,44,class,different
asian_elephant,human,homo sapiens,14,class,skip
asian_elephant,white-tailed deer,odocoileus virginianus,5,class,different
asian_elephant,red deer,cervus elaphus,4,class,different
asian_elephant,common warthog,phacochoerus africanus,3,class,different
asian_elephant,domestic horse,equus caballus,3,class,different
asian_elephant,domestic dog,canis familiaris,2,class,different
asian_elephant,elk,cervus canadensis,1,class,different
asian_elephant,common wildebeest,connochaetes taurinus,1,class,different
asian_elephant,eastern grey kangaroo,macropus giganteus,1,class,different
asian_elephant,cheetah,acinonyx jubatus,1,class,different
asian_elephant,american bison,bison bison,1,class,different
asian_elephant,lowland tapir,tapirus terrestris,1,class,different
common_fallow_deer,domestic cattle,bos taurus,30,order,lookalike
common_fallow_deer,pronghorn,antilocapra americana,15,order,lookalike
common_fallow_deer,domestic goat,capra aegagrus hircus,8,order,lookalike
common_fallow_deer,thomson's gazelle,eudorcas thomsonii,7,order,lookalike
common_fallow_deer,impala,aepyceros melampus,5,order,lookalike
common_fallow_deer,wild boar,sus scrofa,3,order,different
common_fallow_deer,puku,kobus vardonii,3,order,lookalike
common_fallow_deer,guenther's dik-dik,madoqua guentheri,3,order,lookalike
common_fallow_deer,domestic dog,canis familiaris,2,class,different
common_fallow_deer,domestic horse,equus caballus,2,class,lookalike
common_fallow_deer,sitatunga,tragelaphus spekii,1,order,lookalike
common_fallow_deer,mouflon,ovis orientalis,1,order,lookalike
common_fallow_deer,blue sheep,pseudois nayaur,1,order,lookalike
common_fallow_deer,wild goat,capra aegagrus,1,order,lookalike
common_fallow_deer,coyote,canis latrans,1,class,different
common_fallow_deer,lion,panthera leo,1,class,different
red_kangaroo,domestic cattle,bos taurus,19,class,different
red_kangaroo,white-tailed deer,odocoileus virginianus,16,class,different
red_kangaroo,lion,panthera leo,7,class,different
red_kangaroo,puma,puma concolor,6,class,different
red_kangaroo,thomson's gazelle,eudorcas thomsonii,5,class,different
red_kangaroo,red deer,cervus elaphus,5,class,different
red_kangaroo,mule deer,odocoileus hemionus,5,class,different
red_kangaroo,coyote,canis latrans,2,class,different
red_kangaroo,black-tailed jackrabbit,lepus californicus,2,class,different
red_kangaroo,sika deer,cervus nippon,2,class,different
red_kangaroo,domestic sheep,ovis aries,2,class,different
red_kangaroo,domestic cat,felis catus,2,class,different
red_kangaroo,vervet monkey,chlorocebus pygerythrus,1,class,different
red_kangaroo,european roe deer,capreolus capreolus,1,class,different
red_kangaroo,arizona black-tailed prairie dog,cynomys ludovicianus,1,class,different
red_kangaroo,yellow-throated marten,martes flavigula,1,class,different
red_kangaroo,dromedary camel,camelus dromedarius,1,class,different
red_kangaroo,common long-tailed macaque,macaca fascicularis,1,class,different
red_kangaroo,domestic horse,equus caballus,1,class,different
red_kangaroo,snowshoe hare,lepus americanus,1,class,different
red_kangaroo,common duiker,sylvicapra grimmia,1,class,different
red_kangaroo,pampas deer,ozotoceros bezoarticus,1,class,different
red_kangaroo,wild goat,capra aegagrus,1,class,different
red_kangaroo,culpeo,lycalopex culpaeus,1,class,different
red_kangaroo,human,homo sapiens,1,class,skip
red_kangaroo,domestic dog,canis familiaris,1,class,different
springbok,white-tailed deer,odocoileus virginianus,43,order,lookalike
springbok,pronghorn,antilocapra americana,39,order,lookalike
springbok,red deer,cervus elaphus,6,order,lookalike
springbok,mule deer,odocoileus hemionus,4,order,lookalike
springbok,guanaco,lama guanicoe,2,order,lookalike
springbok,common fallow deer,dama dama,2,order,lookalike
springbok,domestic dog,canis familiaris,1,class,different
springbok,giraffe,giraffa camelopardalis,1,order,lookalike
springbok,human,homo sapiens,1,class,skip
domestic_dog,domestic cattle,bos taurus,20,class,different
domestic_dog,domestic cat,felis catus,17,order,lookalike
domestic_dog,white-tailed deer,odocoileus virginianus,6,class,different
domestic_dog,domestic goat,capra aegagrus hircus,5,class,different
domestic_dog,arizona black-tailed prairie dog,cynomys ludovicianus,5,class,different
domestic_dog,lion,panthera leo,5,order,lookalike
domestic_dog,giant otter,pteronura brasiliensis,2,order,lookalike
domestic_dog,human,homo sapiens,2,class,skip
domestic_dog,wild goat,capra aegagrus,2,class,different
domestic_dog,wild boar,sus scrofa,1,class,different
domestic_dog,capybara,hydrochoerus hydrochaeris,1,class,different
domestic_dog,eastern gray squirrel,sciurus carolinensis,1,class,different
domestic_dog,american black bear,ursus americanus,1,order,lookalike
domestic_dog,thomson's gazelle,eudorcas thomsonii,1,class,different
domestic_dog,black-tailed jackrabbit,lepus californicus,1,class,different
domestic_dog,eurasian red squirrel,sciurus vulgaris,1,class,different
domestic_dog,mule deer,odocoileus hemionus,1,class,different
domestic_dog,eastern fox squirrel,sciurus niger,1,class,different
domestic_dog,southern plains gray langur,semnopithecus dussumieri,1,class,different
domestic_dog,tiger,panthera tigris,1,order,lookalike
domestic_dog,red deer,cervus elaphus,1,class,different
african_elephant,domestic cattle,bos taurus,48,class,different
african_elephant,human,homo sapiens,10,class,skip
african_elephant,common warthog,phacochoerus africanus,6,class,different
african_elephant,domestic horse,equus caballus,5,class,different
african_elephant,american bison,bison bison,4,class,different
african_elephant,plains zebra,equus quagga,4,class,different
african_elephant,mountain zebra,equus zebra,3,class,different
african_elephant,white-tailed deer,odocoileus virginianus,2,class,different
african_elephant,domestic dog,canis familiaris,2,class,different
african_elephant,wild boar,sus scrofa,1,class,different
african_elephant,lowland tapir,tapirus terrestris,1,class,different
african_elephant,red deer,cervus elaphus,1,class,different
african_elephant,lion,panthera leo,1,class,different
african_elephant,common wildebeest,connochaetes taurinus,1,class,different
african_elephant,domestic sheep,ovis aries,1,class,different
hartebeest,white-tailed deer,odocoileus virginianus,28,order,lookalike
hartebeest,elk,cervus canadensis,10,order,lookalike
hartebeest,red deer,cervus elaphus,10,order,lookalike
hartebeest,plains zebra,equus quagga,9,class,different
hartebeest,domestic horse,equus caballus,8,class,different
hartebeest,mule deer,odocoileus hemionus,6,order,lookalike
hartebeest,dromedary camel,camelus dromedarius,3,order,lookalike
hartebeest,pronghorn,antilocapra americana,2,order,lookalike
hartebeest,domestic donkey,equus asinus,1,class,different
hartebeest,european roe deer,capreolus capreolus,1,order,lookalike
hartebeest,common warthog,phacochoerus africanus,1,order,lookalike
hartebeest,mountain zebra,equus zebra,1,class,different
red_deer,domestic cattle,bos taurus,35,order,lookalike
red_deer,puku,kobus vardonii,10,order,lookalike
red_deer,common wildebeest,connochaetes taurinus,4,order,lookalike
red_deer,pronghorn,antilocapra americana,3,order,lookalike
red_deer,impala,aepyceros melampus,2,order,lookalike
red_deer,common warthog,phacochoerus africanus,2,order,lookalike
red_deer,common duiker,sylvicapra grimmia,2,order,different
red_deer,guenther's dik-dik,madoqua guentheri,1,order,different
red_deer,red fox,vulpes vulpes,1,class,different
red_deer,domestic horse,equus caballus,1,class,different
red_deer,domestic sheep,ovis aries,1,order,lookalike
red_deer,thomson's gazelle,eudorcas thomsonii,1,order,lookalike
red_deer,domestic donkey,equus asinus,1,class,different
red_deer,wild boar,sus scrofa,1,order,lookalike
red_deer,topi,damaliscus lunatus,1,order,lookalike
red_deer,grant's gazelle,nanger granti,1,order,lookalike
mongoose_family,woodchuck,marmota monax,11,no_match,different
mongoose_family,arizona black-tailed prairie dog,cynomys ludovicianus,10,no_match,different
mongoose_family,california ground squirrel,otospermophilus beecheyi,4,no_match,different
mongoose_family,eurasian red squirrel,sciurus vulgaris,3,no_match,different
mongoose_family,eastern fox squirrel,sciurus niger,3,no_match,different
mongoose_family,eastern gray squirrel,sciurus carolinensis,3,no_match,different
mongoose_family,domestic cattle,bos taurus,3,no_match,different
mongoose_family,wild boar,sus scrofa,2,no_match,different
mongoose_family,yellow-bellied marmot,marmota flaviventris,2,no_match,different
mongoose_family,kinda baboon,papio kindae,2,no_match,different
mongoose_family,collared peccary,pecari tajacu,2,no_match,different
mongoose_family,american black bear,ursus americanus,1,no_match,different
mongoose_family,guenther's dik-dik,madoqua guentheri,1,no_match,different
mongoose_family,white-tailed deer,odocoileus virginianus,1,no_match,different
mongoose_family,south american coati,nasua nasua,1,no_match,different
mongoose_family,tayra,eira barbara,1,no_match,different
mongoose_family,jaguarundi,herpailurus yagouaroundi,1,no_match,different
mongoose_family,red squirrel,tamiasciurus hudsonicus,1,no_match,different
mongoose_family,nine-banded armadillo,dasypus novemcinctus,1,no_match,different
mongoose_family,lion,panthera leo,1,no_match,different
mongoose_family,domestic horse,equus caballus,1,no_match,different
mongoose_family,central american agouti,dasyprocta punctata,1,no_match,different
mongoose_family,grey fox,urocyon cinereoargenteus,1,no_match,different
mongoose_family,vervet monkey,chlorocebus pygerythrus,1,no_match,different
mongoose_family,giant anteater,myrmecophaga tridactyla,1,no_match,different
african_buffalo,common warthog,phacochoerus africanus,15,order,lookalike
african_buffalo,wild boar,sus scrofa,13,order,lookalike
african_buffalo,african elephant,loxodonta africana,8,class,different
african_buffalo,red deer,cervus elaphus,7,order,lookalike
african_buffalo,white-tailed deer,odocoileus virginianus,6,order,lookalike
african_buffalo,domestic horse,equus caballus,4,class,different
african_buffalo,lowland tapir,tapirus terrestris,2,class,different
african_buffalo,plains zebra,equus quagga,1,class,different
african_buffalo,common fallow deer,dama dama,1,order,lookalike
african_buffalo,cervidae family,,1,order,skip
african_buffalo,mule deer,odocoileus hemionus,1,order,lookalike
african_buffalo,domestic dog,canis familiaris,1,class,different
african_buffalo,human,homo sapiens,1,class,skip
african_buffalo,elk,cervus canadensis,1,order,lookalike
brown_bear,domestic cattle,bos taurus,16,class,different
brown_bear,white-tailed deer,odocoileus virginianus,5,class,different
brown_bear,domestic cat,felis catus,5,order,different
brown_bear,american bison,bison bison,5,class,different
brown_bear,red fox,vulpes vulpes,4,order,different
brown_bear,red deer,cervus elaphus,3,class,different
brown_bear,capra species,capra,2,class,skip
brown_bear,takin,budorcas taxicolor,2,class,different
brown_bear,yellow-bellied marmot,marmota flaviventris,2,class,different
brown_bear,hylobatidae family,,2,class,skip
brown_bear,domestic dog,canis familiaris,2,order,different
brown_bear,domestic horse,equus caballus,1,class,different
brown_bear,european roe deer,capreolus capreolus,1,class,different
brown_bear,south american coati,nasua nasua,1,order,different
brown_bear,eastern fox squirrel,sciurus niger,1,class,different
brown_bear,eastern gray squirrel,sciurus carolinensis,1,class,different
brown_bear,fisher,pekania pennanti,1,order,different
brown_bear,spotted hyaena,crocuta crocuta,1,order,different
brown_bear,sika deer,cervus nippon,1,class,different
brown_bear,capybara,hydrochoerus hydrochaeris,1,class,different
brown_bear,elk,cervus canadensis,1,class,different
brown_bear,mule deer,odocoileus hemionus,1,class,different
ring-tailed_lemur,south american coati,nasua nasua,16,class,different
ring-tailed_lemur,vervet monkey,chlorocebus pygerythrus,16,order,lookalike
ring-tailed_lemur,northern raccoon,procyon lotor,5,class,different
ring-tailed_lemur,domestic cat,felis catus,3,class,different
ring-tailed_lemur,domestic cattle,bos taurus,3,class,different
ring-tailed_lemur,red-necked wallaby,macropus rufogriseus,3,class,different
ring-tailed_lemur,plains zebra,equus quagga,2,class,different
ring-tailed_lemur,eastern gray squirrel,sciurus carolinensis,2,class,different
ring-tailed_lemur,wild goat,capra aegagrus,2,class,different
ring-tailed_lemur,lion,panthera leo,2,class,different
ring-tailed_lemur,bobcat,lynx rufus,1,class,different
ring-tailed_lemur,alpine ibex,capra ibex,1,class,different
ring-tailed_lemur,western gray squirrel,sciurus griseus,1,class,different
ring-tailed_lemur,blue sheep,pseudois nayaur,1,class,different
ring-tailed_lemur,argentine gray fox,lycalopex griseus,1,class,different
ring-tailed_lemur,canis species,canis,1,class,skip
ring-tailed_lemur,white-tailed deer,odocoileus virginianus,1,class,different
ring-tailed_lemur,whiptail wallaby,macropus parryi,1,class,different
ring-tailed_lemur,sika deer,cervus nippon,1,class,different
ring-tailed_lemur,golden snub-nosed monkey,rhinopithecus roxellana,1,order,lookalike
ring-tailed_lemur,tiger,panthera tigris,1,class,different
ring-tailed_lemur,common long-tailed macaque,macaca fascicularis,1,order,lookalike
ring-tailed_lemur,large indian civet,viverra zibetha,1,class,different
chital,impala,aepyceros melampus,11,order,lookalike
chital,bushbuck,tragelaphus scriptus,9,order,lookalike
chital,domestic cattle,bos taurus,9,order,lookalike
chital,thomson's gazelle,eudorcas thomsonii,8,order,lookalike
chital,puku,kobus vardonii,4,order,lookalike
chital,domestic goat,capra aegagrus hircus,2,order,lookalike
chital,springbok,antidorcas marsupialis,2,order,lookalike
chital,eastern gray squirrel,sciurus carolinensis,1,class,different
chital,domestic dog,canis familiaris,1,class,different
chital,dik-dik species,madoqua,1,order,skip
chital,guenther's dik-dik,madoqua guentheri,1,order,lookalike
chital,grant's gazelle,nanger granti,1,order,lookalike
chital,macaque species,macaca,1,class,skip
mountain_goat,domestic dog,canis familiaris,9,class,different
mountain_goat,domestic cat,felis catus,7,class,different
mountain_goat,coyote,canis latrans,6,class,different
mountain_goat,mule deer,odocoileus hemionus,5,order,lookalike
mountain_goat,white-tailed deer,odocoileus virginianus,5,order,lookalike
mountain_goat,pronghorn,antilocapra americana,2,order,lookalike
mountain_goat,eastern gray squirrel,sciurus carolinensis,2,class,different
mountain_goat,arizona black-tailed prairie dog,cynomys ludovicianus,2,class,different
mountain_goat,hylobatidae family,,2,class,skip
mountain_goat,red deer,cervus elaphus,1,order,lookalike
mountain_goat,grey fox,urocyon cinereoargenteus,1,class,different
mountain_goat,domestic horse,equus caballus,1,class,different
mountain_goat,domestic donkey,equus asinus,1,class,different
mountain_goat,canis species,canis,1,class,skip
mountain_goat,american black bear,ursus americanus,1,class,different
mountain_goat,eastern fox squirrel,sciurus niger,1,class,different
mountain_goat,wild boar,sus scrofa,1,order,lookalike
mountain_goat,artiodactyla order,,1,order,skip
domestic_goat,domestic dog,canis familiaris,27,class,different
domestic_goat,domestic horse,equus caballus,4,class,different
domestic_goat,white-tailed deer,odocoileus virginianus,4,order,lookalike
domestic_goat,domestic cat,felis catus,3,class,different
domestic_goat,common fallow deer,dama dama,3,order,lookalike
domestic_goat,hylobatidae family,,2,class,skip
domestic_goat,coyote,canis latrans,2,class,different
domestic_goat,wild boar,sus scrofa,2,order,lookalike
domestic_goat,pronghorn,antilocapra americana,2,order,lookalike
domestic_goat,lion,panthera leo,2,class,different
domestic_goat,eurasian red squirrel,sciurus vulgaris,1,class,different
domestic_goat,tufted deer,elaphodus cephalophus,1,order,lookalike
domestic_goat,red deer,cervus elaphus,1,order,lookalike
domestic_goat,honey badger,mellivora capensis,1,class,different
domestic_goat,whiptail wallaby,macropus parryi,1,class,different
domestic_goat,canis species,canis,1,class,skip
domestic_goat,human,homo sapiens,1,class,skip
domestic_goat,grey wolf,canis lupus,1,class,different
domestic_goat,douglas's squirrel,tamiasciurus douglasii,1,class,different
domestic_goat,sika deer,cervus nippon,1,order,lookalike
plains_zebra,domestic cattle,bos taurus,16,class,different
plains_zebra,giraffe,giraffa camelopardalis,10,class,different
plains_zebra,common wildebeest,connochaetes taurinus,7,class,different
plains_zebra,impala,aepyceros melampus,3,class,different
plains_zebra,common warthog,phacochoerus africanus,3,class,different
plains_zebra,springbok,antidorcas marsupialis,2,class,different
plains_zebra,pronghorn,antilocapra americana,2,class,different
plains_zebra,blue sheep,pseudois nayaur,2,class,different
plains_zebra,white-tailed deer,odocoileus virginianus,2,class,different
plains_zebra,human,homo sapiens,1,class,skip
plains_zebra,hartebeest,alcelaphus buselaphus,1,class,different
plains_zebra,domestic cat,felis catus,1,class,different
plains_zebra,wild goat,capra aegagrus,1,class,different
plains_zebra,thomson's gazelle,eudorcas thomsonii,1,class,different
plains_zebra,guenther's dik-dik,madoqua guentheri,1,class,different
plains_zebra,sambar,rusa unicolor,1,class,different
plains_zebra,wild boar,sus scrofa,1,class,different
rock_hyrax,arizona black-tailed prairie dog,cynomys ludovicianus,8,class,lookalike
rock_hyrax,yellow-bellied marmot,marmota flaviventris,7,class,lookalike
rock_hyrax,woodchuck,marmota monax,5,class,lookalike
rock_hyrax,domestic cat,felis catus,3,class,different
rock_hyrax,brush-tailed rock wallaby,petrogale penicillata,2,class,different
rock_hyrax,wild boar,sus scrofa,2,class,different
rock_hyrax,belding's ground squirrel,urocitellus beldingi,2,class,lookalike
rock_hyrax,sciuridae family,,1,class,skip
rock_hyrax,mongolian marmot,marmota sibirica,1,class,lookalike
rock_hyrax,common wombat,vombatus ursinus,1,class,different
rock_hyrax,coyote,canis latrans,1,class,different
rock_hyrax,human,homo sapiens,1,class,skip
rock_hyrax,eurasian red squirrel,sciurus vulgaris,1,class,lookalike
rock_hyrax,western gray kangaroo,macropus fuliginosus,1,class,different
rock_hyrax,domestic cattle,bos taurus,1,class,different
rock_hyrax,nutria,myocastor coypus,1,class,lookalike
rock_hyrax,culpeo,lycalopex culpaeus,1,class,different
rock_hyrax,california ground squirrel,otospermophilus beecheyi,1,class,lookalike
rock_hyrax,alpine ibex,capra ibex,1,class,different
rock_hyrax,american pika,ochotona princeps,1,class,lookalike
rock_hyrax,himalayan marmot,marmota himalayana,1,class,lookalike
rock_hyrax,mule deer,odocoileus hemionus,1,class,different
rock_hyrax,golden mantled ground squirrel,callospermophilus lateralis,1,class,lookalike
rock_hyrax,white-tailed prairie dog,cynomys leucurus,1,class,lookalike
saimiri_species,southern pig-tailed macaque,macaca nemestrina,16,order,lookalike
saimiri_species,eastern gray squirrel,sciurus carolinensis,8,class,different
saimiri_species,douglas's squirrel,tamiasciurus douglasii,4,class,different
saimiri_species,eastern fox squirrel,sciurus niger,4,class,different
saimiri_species,common long-tailed macaque,macaca fascicularis,3,order,lookalike
saimiri_species,human,homo sapiens,3,order,skip
saimiri_species,vervet monkey,chlorocebus pygerythrus,2,order,lookalike
saimiri_species,black-and-gold howler monkey,alouatta caraya,2,order,lookalike
saimiri_species,domestic cattle,bos taurus,1,class,different
saimiri_species,blue monkey,cercopithecus mitis,1,order,lookalike
saimiri_species,golden snub-nosed monkey,rhinopithecus roxellana,1,order,lookalike
klipspringer,mule deer,odocoileus hemionus,30,order,lookalike
klipspringer,red deer,cervus elaphus,4,order,lookalike
klipspringer,white-tailed deer,odocoileus virginianus,4,order,lookalike
klipspringer,european roe deer,capreolus capreolus,2,order,lookalike
klipspringer,coyote,canis latrans,2,class,different
klipspringer,sika deer,cervus nippon,1,order,lookalike
klipspringer,wild boar,sus scrofa,1,order,different
elk,domestic cattle,bos taurus,29,order,different
elk,domestic horse,equus caballus,6,class,different
elk,puku,kobus vardonii,5,order,lookalike
elk,pronghorn,antilocapra americana,2,order,lookalike
elk,common wildebeest,connochaetes taurinus,2,order,lookalike
elk,african elephant,loxodonta africana,1,class,different
elk,giraffe,giraffa camelopardalis,1,order,lookalike
kangaroo_family,white-tailed deer,odocoileus virginianus,13,no_match,different
kangaroo_family,domestic cattle,bos taurus,5,no_match,different
kangaroo_family,red deer,cervus elaphus,2,no_match,different
kangaroo_family,mule deer,odocoileus hemionus,2,no_match,different
kangaroo_family,common long-tailed macaque,macaca fascicularis,2,no_match,different
kangaroo_family,european roe deer,capreolus capreolus,2,no_match,different
kangaroo_family,coyote,canis latrans,2,no_match,different
kangaroo_family,puma,puma concolor,2,no_match,different
kangaroo_family,domestic horse,equus caballus,1,no_match,different
kangaroo_family,thomson's gazelle,eudorcas thomsonii,1,no_match,different
kangaroo_family,reedbuck species,redunca,1,no_match,skip
kangaroo_family,black-fronted duiker,cephalophus nigrifrons,1,no_match,different
kangaroo_family,domestic cat,felis catus,1,no_match,different
kangaroo_family,blue sheep,pseudois nayaur,1,no_match,different
kangaroo_family,woodchuck,marmota monax,1,no_match,different
kangaroo_family,common wildebeest,connochaetes taurinus,1,no_match,different
kangaroo_family,eastern gray squirrel,sciurus carolinensis,1,no_match,different
kangaroo_family,sika deer,cervus nippon,1,no_match,different
kangaroo_family,vervet monkey,chlorocebus pygerythrus,1,no_match,different
kangaroo_family,white-tailed prairie dog,cynomys leucurus,1,no_match,different
kangaroo_family,eastern fox squirrel,sciurus niger,1,no_match,different
kangaroo_family,guenther's dik-dik,madoqua guentheri,1,no_match,different
kangaroo_family,bobcat,lynx rufus,1,no_match,different
european_rabbit,domestic cat,felis catus,18,class,different
european_rabbit,white-tailed deer,odocoileus virginianus,6,class,different
european_rabbit,eastern gray squirrel,sciurus carolinensis,6,class,different
european_rabbit,guenther's dik-dik,madoqua guentheri,2,class,different
european_rabbit,arizona black-tailed prairie dog,cynomys ludovicianus,2,class,different
european_rabbit,pronghorn,antilocapra americana,1,class,different
european_rabbit,domestic cattle,bos taurus,1,class,different
european_rabbit,takin,budorcas taxicolor,1,class,different
european_rabbit,golden mantled ground squirrel,callospermophilus lateralis,1,class,different
european_rabbit,capybara,hydrochoerus hydrochaeris,1,class,different
european_rabbit,wild boar,sus scrofa,1,class,different
european_rabbit,human,homo sapiens,1,class,skip
european_rabbit,domestic goat,capra aegagrus hircus,1,class,different
european_rabbit,nutria,myocastor coypus,1,class,different
european_rabbit,giant otter,pteronura brasiliensis,1,class,different
european_rabbit,blue sheep,pseudois nayaur,1,class,different
meerkat,arizona black-tailed prairie dog,cynomys ludovicianus,22,class,lookalike
meerkat,coyote,canis latrans,4,order,different
meerkat,domestic cattle,bos taurus,4,class,different
meerkat,vervet monkey,chlorocebus pygerythrus,3,class,different
meerkat,olive baboon,papio anubis,2,class,different
meerkat,spotted hyaena,crocuta crocuta,2,order,lookalike
meerkat,american badger,taxidea taxus,2,order,lookalike
meerkat,kinda baboon,papio kindae,2,class,different
meerkat,thomson's gazelle,eudorcas thomsonii,2,class,different
meerkat,white-tailed deer,odocoileus virginianus,2,class,different
meerkat,eastern fox squirrel,sciurus niger,2,class,different
meerkat,yellow-bellied marmot,marmota flaviventris,2,class,lookalike
meerkat,california ground squirrel,otospermophilus beecheyi,1,class,lookalike
meerkat,white-tailed antelope squirrel,ammospermophilus leucurus,1,class,lookalike
meerkat,guenther's dik-dik,madoqua guentheri,1,class,different
meerkat,northern raccoon,procyon lotor,1,order,lookalike
meerkat,takin,budorcas taxicolor,1,class,different
