common_name,scientific_name,level,total_images,commercially_safe,cc0,cc_by,cc_by_nc,cc_by_sa,cc_by_nd,cc_by_nc_sa,cc_by_nc_nd,other
common fallow deer,dama dama,species,18265,2686,651,2035,14583,149,22,558,267,0
llama genus,lama,genus,18170,3068,410,2658,14285,180,27,339,271,0
pikas genus,ochotona,genus,17754,1951,373,1578,14416,91,34,589,673,0
impala,aepyceros melampus,species,17196,2272,475,1797,13387,573,170,234,560,0
cebus species,cebus,genus,17190,2052,325,1727,14205,111,7,223,592,0
callithrix species,callithrix,genus,16874,2077,221,1856,13595,511,1,377,313,0
capybara,hydrochoerus hydrochaeris,species,16564,2780,417,2363,12984,199,3,277,321,0
african buffalo,syncerus caffer,species,15996,2035,356,1679,12829,295,76,190,571,0
rhinoceros family,rhinocerotidae,family,15466,1894,349,1545,12229,372,81,272,618,0
common wombat,vombatus ursinus,species,15440,944,305,639,13960,54,20,334,128,0
ateles species,ateles,genus,15420,1800,245,1555,12417,179,42,444,538,0
common warthog,phacochoerus africanus,species,15176,1776,424,1352,12382,287,54,188,489,0
brown-throated sloth,bradypus variegatus,species,14852,1826,259,1567,12197,169,11,274,375,0
vervet monkey,chlorocebus pygerythrus,species,14351,1720,479,1241,11584,314,74,204,455,0
northern chamois,rupicapra rupicapra,species,14134,1831,193,1638,11526,128,5,310,334,0
leopard,panthera pardus,species,13671,1630,285,1345,10761,278,36,165,801,0
old world porcupine family,hystricidae,family,13277,1436,185,1251,10257,959,190,142,293,0
domestic donkey,equus asinus,species,13121,1474,244,1230,11039,167,14,230,197,0
common wildebeest,connochaetes taurinus,species,13029,1673,447,1226,10181,366,100,167,542,0
alpine marmot,marmota marmota,species,12860,2229,213,2016,9832,130,9,254,406,0
lycalopex species,lycalopex,genus,12845,2111,359,1752,10054,96,43,356,185,0
eurasian otter,lutra lutra,species,12774,1432,215,1217,10709,85,17,138,393,0
ringtail,bassariscus astutus,species,12616,799,87,712,10783,335,8,200,491,0
greater kudu,tragelaphus strepsiceros,species,12144,1448,338,1110,9640,388,101,193,374,0
reindeer,rangifer tarandus,species,11763,1549,275,1274,9594,167,10,195,248,0
muntjac genus,muntiacus,genus,11628,1635,300,1335,9411,76,12,169,325,0
saimiri species,saimiri,genus,11559,1532,215,1317,9329,109,16,194,379,0
waterbuck,kobus ellipsiprymnus,species,11286,1296,252,1044,9181,194,48,189,378,0
mountain goat,oreamnos americanus,species,11065,1292,301,991,9164,90,22,285,212,0
spotted hyaena,crocuta crocuta,species,11037,1277,228,1049,8914,233,13,135,465,0
asian elephant,elephas maximus,species,10993,1813,224,1589,8583,138,6,188,265,0
glaucomys species,glaucomys,genus,10492,936,123,813,9027,56,28,97,348,0
rock hyrax,procavia capensis,species,10268,1360,304,1056,7916,501,79,193,219,0
alpine ibex,capra ibex,species,9602,1366,120,1246,7730,86,2,270,148,0
sika deer,cervus nippon,species,9507,1275,157,1118,7759,136,3,210,124,0
fisher,pekania pennanti,species,9309,687,197,490,8293,15,21,55,238,0
saguinus species,saguinus,genus,9244,1345,218,1127,7227,80,6,260,326,0
cercopithecus species,cercopithecus,genus,8982,1167,229,938,6831,336,2,156,490,0
chital,axis axis,species,8959,1250,161,1089,7127,77,30,175,300,0
american badger,taxidea taxus,species,8594,972,149,823,7096,46,57,129,294,0
cheetah,acinonyx jubatus,species,8386,869,139,730,6735,181,27,88,486,0
jaguar,panthera onca,species,8105,745,88,657,6854,94,25,133,254,0
tiger,panthera tigris,species,7965,1063,162,901,6427,79,10,155,231,0
common eland,tragelaphus oryx,species,7701,849,130,719,6170,330,16,132,204,0
hoffmann's two-toed sloth,choloepus hoffmanni,species,7433,855,124,731,6228,51,4,117,178,0
sambar,rusa unicolor,species,7273,1188,130,1058,5609,92,10,178,196,0
genet genus,genetta,genus,7212,720,91,629,5793,360,54,82,203,0
south american coati,nasua nasua,species,6826,997,145,852,5343,107,4,152,223,0
hartebeest,alcelaphus buselaphus,species,6721,693,114,579,5381,240,18,123,266,0
golden jackal,canis aureus,species,6647,968,63,905,5261,54,44,130,190,0
springbok,antidorcas marsupialis,species,5843,620,166,454,4539,331,38,114,201,0
domestic water buffalo,bubalus bubalis,species,5760,991,106,885,4467,79,6,85,132,0
steenbok,raphicerus campestris,species,5547,649,131,518,4244,312,94,85,163,0
gemsbok,oryx gazella,species,5501,618,133,485,4268,294,12,102,207,0
blesbok,damaliscus pygargus,species,5392,649,137,512,4105,395,46,120,77,0
nyala,tragelaphus angasii,species,5286,724,144,580,4209,126,9,67,151,0
klipspringer,oreotragus oreotragus,species,5270,463,129,334,4051,555,22,48,131,0
common duiker,sylvicapra grimmia,species,5071,595,131,464,3824,356,137,43,116,0
eulemur species,eulemur,genus,4592,780,161,619,3431,82,17,66,216,0
lowland tapir,tapirus terrestris,species,4578,657,55,602,3633,36,1,118,133,0
leopardus species,leopardus,genus,4372,573,89,484,3636,30,8,50,75,0
african wild dog,lycaon pictus,species,4280,486,77,409,3400,63,22,66,243,0
ocelot,leopardus pardalis,species,4240,434,33,401,3559,48,10,83,106,0
colobus species,colobus,genus,4102,532,93,439,3267,44,5,73,181,0
raccoon dog,nyctereutes procyonoides,species,4094,573,52,521,3390,7,2,69,53,0
gorilla species,gorilla,genus,4032,518,80,438,3032,40,0,37,405,0
leaf monkeys genus,presbytis,genus,4003,510,71,439,3238,23,2,56,174,0
meerkat,suricata suricatta,species,3794,433,75,358,3095,83,21,75,87,0
dromedary camel,camelus dromedarius,species,3782,427,41,386,3132,43,4,87,89,0
bornean orangutan,pongo pygmaeus,species,3668,434,71,363,3034,21,7,38,134,0
nilgai,boselaphus tragocamelus,species,3583,548,44,504,2840,35,34,52,74,0
japanese macaque,macaca fuscata,species,3561,390,52,338,3078,22,0,23,48,0
canada lynx,lynx canadensis,species,3528,450,83,367,2937,45,2,9,85,0
giant anteater,myrmecophaga tridactyla,species,3460,437,38,399,2868,20,1,55,79,0
ring-tailed lemur,lemur catta,species,3275,467,53,414,2615,34,15,50,94,0
baird's tapir,tapirus bairdii,species,3195,479,45,434,2544,47,2,63,60,0
reedbuck genus,redunca,genus,3180,335,45,290,2540,91,18,61,135,0
spilogale species,spilogale,genus,3083,205,39,166,2218,28,10,254,368,0
tayra,eira barbara,species,2988,291,46,245,2525,34,6,71,61,0
giant otter,pteronura brasiliensis,species,2956,461,41,420,2208,27,3,81,176,0
mountain zebra,equus zebra,species,2929,387,63,324,2280,137,2,68,55,0
nine-banded armadillo,dasypus novemcinctus,species,2798,423,29,394,2255,47,0,22,51,0
caracal,caracal caracal,species,2781,211,35,176,2341,147,27,30,25,0
giraffe,giraffa camelopardalis,species,2751,199,55,144,2424,13,0,17,98,0
red kangaroo,osphranter rufus,species,2745,343,22,321,2213,33,11,105,40,0
blackbuck,antilope cervicapra,species,2736,414,28,386,2179,21,2,30,90,0
