common_name,scientific_name,level,image_count,mean_confidence,min_confidence,median_confidence
aardvark,orycteropus afer,species,15,0.894,0.667,0.917
aardwolf,proteles cristata,species,7,0.771,0.697,0.765
abbott's duiker,cephalophus spadix,species,0,0.000,0.000,0.000
aders' duiker,cephalophus adersi,species,0,0.000,0.000,0.000
african buffalo,syncerus caffer,species,252,0.909,0.651,0.947
african civet,civettictis civetta,species,23,0.849,0.679,0.860
african elephant,loxodonta africana,species,368,0.946,0.651,0.986
african striped weasel,poecilogale albinucha,species,0,0.000,0.000,0.000
african wild dog,lycaon pictus,species,144,0.919,0.656,0.952
agile wallaby,macropus agilis,species,60,0.823,0.651,0.816
agouti genus,dasyprocta,genus,254,0.891,0.654,0.943
alpine ibex,capra ibex,species,188,0.888,0.654,0.922
alpine marmot,marmota marmota,species,7,0.761,0.652,0.750
alpine musk deer,moschus chrysogaster,species,0,0.000,0.000,0.000
american badger,taxidea taxus,species,133,0.889,0.650,0.927
american bison,bison bison,species,333,0.910,0.658,0.958
american black bear,ursus americanus,species,283,0.917,0.664,0.954
american hog-nosed skunk,conepatus leuconotus,species,0,0.000,0.000,0.000
american marten,martes americana,species,72,0.834,0.658,0.849
american mink,neovison vison,species,6,0.729,0.679,0.725
andean white-fronted capuchin,cebus yuracus,species,0,0.000,0.000,0.000
angolan colobus,colobus angolensis,species,218,0.947,0.663,0.977
arabian oryx,oryx leucoryx,species,0,0.000,0.000,0.000
argali,ovis ammon,species,0,0.000,0.000,0.000
argentine gray fox,lycalopex griseus,species,92,0.822,0.652,0.837
arizona black-tailed prairie dog,cynomys ludovicianus,species,243,0.904,0.650,0.948
asian badger,meles leucurus,species,0,0.000,0.000,0.000
asian elephant,elephas maximus,species,87,0.904,0.651,0.949
asian small-clawed otter,aonyx cinereus,species,0,0.000,0.000,0.000
asiatic black bear,ursus thibetanus,species,2,0.710,0.705,0.716
asiatic brush-tailed porcupine,atherurus macrourus,species,3,0.879,0.705,0.942
asiatic golden cat,catopuma temminckii,species,4,0.770,0.664,0.730
asiatic wild ass,equus hemionus,species,0,0.000,0.000,0.000
assam macaque,macaca assamensis,species,0,0.000,0.000,0.000
ateles species,ateles,genus,0,0.000,0.000,0.000
aye-aye,daubentonia madagascariensis,species,0,0.000,0.000,0.000
azaras's capuchin,sapajus cay,species,76,0.830,0.661,0.828
baboon genus,papio,genus,271,0.862,0.653,0.885
baird's tapir,tapirus bairdii,species,11,0.814,0.662,0.818
banded civet,hemigalus derbyanus,species,2,0.861,0.844,0.879
bandicoot,,higher,75,0.855,0.654,0.905
banteng,bos javanicus,species,1,0.815,0.815,0.815
barasingha,rucervus duvaucelii,species,0,0.000,0.000,0.000
barbary macaque,macaca sylvanus,species,0,0.000,0.000,0.000
bat-eared fox,otocyon megalotis,species,31,0.803,0.651,0.791
bay duiker,cephalophus dorsalis,species,0,0.000,0.000,0.000
bearded capuchin,sapajus libidinosus,species,0,0.000,0.000,0.000
bearded pig,sus barbatus,species,25,0.908,0.653,0.972
beaver genus,castor,genus,35,0.777,0.657,0.763
beech marten,martes foina,species,0,0.000,0.000,0.000
beisa oryx,oryx beisa,species,39,0.761,0.662,0.743
bighorn sheep,ovis canadensis,species,216,0.913,0.651,0.961
