class,band,effective_pool,synth_disp,train_disp,test_disp,capped
tiger,D,798,0.0,400.38,99.62,True
reindeer,D,835,0.0,400.0,100.0,True
cheetah,D,863,0.0,400.35,99.65,True
eulemur species,D,880,0.0,400.0,100.0,True
steenbok,D,957,0.0,400.21,99.79,True
saguinus species,D,1065,0.0,400.0,100.0,True
martes species,D,1298,0.0,400.23,99.77,True
saimiri species,D,1327,0.0,400.15,99.85,True
rock hyrax,D,1336,0.0,400.07,99.93,True
sea otter,D,1404,0.0,400.28,99.72,True
ateles species,D,1437,0.0,400.14,99.86,True
pikas genus,D,1484,0.0,400.27,99.73,True
rhinoceros family,D,1512,0.0,400.13,99.87,True
brown-throated sloth,D,1518,0.0,400.2,99.8,True
brown bear,D,1523,0.0,400.2,99.8,True
common warthog,D,1553,0.0,400.19,99.81,True
domestic sheep,D,1562,0.0,400.13,99.87,True
common fallow deer,D,1589,0.0,400.25,99.75,True
common wildebeest,D,1625,0.0,400.0,100.0,True
vervet monkey,D,1635,0.0,400.0,100.0,True
red deer,D,1697,0.0,400.12,99.88,True
alpine marmot,D,1716,0.0,400.06,99.94,True
lycalopex species,D,1731,0.0,400.06,99.94,True
greater kudu,D,1732,0.0,400.12,99.88,True
callithrix species,D,1736,0.0,400.06,99.94,True
capybara,D,1767,0.0,400.11,99.89,True
short-beaked echidna,D,1767,0.0,400.11,99.89,True
elephant seal,D,1768,0.0,400.17,99.83,True
koala,D,1779,0.0,400.22,99.78,True
weasel species,D,1795,0.0,400.0,100.0,True
arizona black-tailed prairie dog,D,1800,0.0,400.0,100.0,True
cebus species,D,1819,0.0,400.22,99.78,True
agouti genus,D,1853,0.0,400.16,99.84,True
bobcat,D,1861,0.0,400.05,99.95,True
yellow-bellied marmot,D,1898,0.0,399.15,100.85,True
north american porcupine,D,1914,0.0,398.51,101.49,True
leopard,D,1934,0.0,397.67,102.33,True
western gray squirrel,D,1957,0.0,396.62,103.38,True
domestic dog,D,2019,0.0,394.11,105.89,True
african buffalo,D,2051,0.0,392.67,107.33,True
llama genus,D,2085,0.0,391.24,108.76,True
beaver genus,D,2162,0.0,388.2,111.8,True
mongoose family,D,2257,0.0,384.42,115.58,True
white-nosed coati,D,2269,0.0,384.02,115.98,True
impala,D,2288,0.0,383.24,116.76,True
pronghorn,D,2316,0.0,382.07,117.93,True
american bison,D,2320,0.0,381.87,118.13,True
domestic cattle,D,2359,0.0,380.52,119.48,True
baboon genus,D,2486,0.0,375.56,124.44,True
domestic horse,D,2550,0.0,375.0,125.0,True
wild boar,D,2602,0.0,375.0,125.0,True
eastern grey kangaroo,D,2680,0.0,375.0,125.0,True
north american river otter,D,2772,0.0,375.0,125.0,True
golden mantled ground squirrel,D,2819,0.0,375.0,125.0,True
european hare,D,3087,0.0,375.0,125.0,True
nutria,D,3150,0.0,375.0,125.0,True
bighorn sheep,D,3167,0.0,375.0,125.0,True
plains zebra,D,3195,0.0,375.0,125.0,True
opossum family,D,3199,0.0,375.0,125.0,True
howler monkey genus,D,3206,0.0,375.0,125.0,True
muskrat,D,3253,0.0,375.0,125.0,True
hedgehog family,D,3296,0.0,375.0,125.0,True
lion,D,3318,0.0,375.0,125.0,True
muridae family,D,3371,0.0,375.0,125.0,True
american black bear,D,3436,0.0,375.0,125.0,True
moose,D,3508,0.0,375.0,125.0,True
woodchuck,D,3872,0.0,375.0,125.0,True
rattus genus,D,3954,0.0,375.0,125.0,True
african elephant,D,4338,0.0,375.0,125.0,True
hares and jackrabbits genus,D,4836,0.0,375.0,125.0,True
cricetidae family,D,4917,0.0,375.0,125.0,True
european rabbit,D,5424,0.0,375.0,125.0,True
elk,D,5517,0.0,375.0,125.0,True
california ground squirrel,D,5627,0.0,375.0,125.0,True
northern raccoon,D,5840,0.0,375.0,125.0,True
european roe deer,D,6011,0.0,375.0,125.0,True
kangaroo family,D,6137,0.0,375.0,125.0,True
coyote,D,6865,0.0,375.0,125.0,True
chipmunk genus,D,6934,0.0,375.0,125.0,True
domestic cat,D,7159,0.0,375.0,125.0,True
red squirrel,D,7526,0.0,375.0,125.0,True
macaque species,D,7557,0.0,375.0,125.0,True
cottontail rabbits genus,D,7757,0.0,375.0,125.0,True
red fox,D,8705,0.0,375.0,125.0,True
eared seals,D,9261,0.0,375.0,125.0,True
eurasian red squirrel,D,9929,0.0,375.0,125.0,True
eastern cottontail,D,11456,0.0,375.0,125.0,True
eastern fox squirrel,D,12436,0.0,375.0,125.0,True
mule deer,D,18110,0.0,375.0,125.0,True
white-tailed deer,D,24609,0.0,375.0,125.0,True
eastern gray squirrel,D,31099,0.0,375.0,125.0,True
squirrel family,D,31365,0.0,375.0,125.0,True
