class,trusted_quality_pass,trusted_sn_pass,trusted_sn_fail_count,trusted_sn_fail_reason,trusted_no_sn_result,unverified_sn_pass,effective_pool,tier,review_approved,review_declined,effective_trusted,final_tier
domestic cattle,2148,1566,582,match_level_no_match,0,211,2359,4,0,0,2148,4
american bison,2320,1105,1215,family_mismatch_high_confidence,0,0,2320,4,0,0,2320,4
pronghorn,2316,1065,1251,match_level_no_match,0,0,2316,4,0,0,2316,4
impala,2288,1563,725,match_level_no_match,0,0,2288,4,0,0,2288,4
white-nosed coati,2269,729,1540,match_level_no_match,0,0,2269,4,0,0,2269,4
mongoose family,2257,118,2139,match_level_no_match,0,0,2257,4,0,0,2257,4
beaver genus,2162,162,2000,match_level_no_match,0,0,2162,4,0,0,2162,4
llama genus,2085,125,1960,match_level_order,0,0,2085,4,0,0,2085,4
african buffalo,2051,718,1333,family_mismatch_high_confidence,0,0,2051,4,0,0,2051,4
domestic dog,2019,935,1084,match_level_no_match,0,0,2019,4,0,0,2019,4
western gray squirrel,1957,962,995,match_level_no_match,0,0,1957,4,0,0,1957,4
leopard,1186,646,540,match_level_no_match,0,748,1934,4,0,0,1186,4
north american porcupine,1914,481,1433,match_level_no_match,0,0,1914,4,0,0,1914,4
yellow-bellied marmot,1898,703,1195,match_level_no_match,0,0,1898,4,0,0,1898,4
bobcat,1861,899,962,match_level_no_match,0,0,1861,4,0,0,1861,4
agouti genus,1853,670,1183,match_level_no_match,0,0,1853,4,0,0,1853,4
cebus species,1819,67,1751,match_level_no_match,1,0,1819,4,0,0,1819,4
arizona black-tailed prairie dog,1800,827,973,match_level_no_match,0,0,1800,4,0,0,1800,4
weasel species,1795,88,1707,match_level_no_match,0,0,1795,4,0,0,1795,4
koala,1774,9,1765,match_level_no_match,0,5,1779,4,0,0,1774,4
elephant seal,1768,0,1768,match_level_no_match,0,0,1768,4,0,0,1768,4
capybara,1767,559,1208,match_level_no_match,0,0,1767,4,0,0,1767,4
short-beaked echidna,1767,1092,675,match_level_no_match,0,0,1767,4,0,0,1767,4
callithrix species,1736,3,1733,match_level_no_match,0,0,1736,4,0,0,1736,4
greater kudu,1732,577,1155,match_level_order,0,0,1732,4,0,0,1732,4
lycalopex species,1731,549,1182,family_mismatch_high_confidence,0,0,1731,4,0,0,1731,4
alpine marmot,1716,340,1376,match_level_no_match,0,0,1716,4,0,0,1716,4
red deer,1697,828,869,match_level_no_match,0,0,1697,4,0,0,1697,4
vervet monkey,1635,656,979,match_level_no_match,0,0,1635,4,0,0,1635,4
common wildebeest,1625,895,730,match_level_no_match,0,0,1625,4,0,0,1625,4
common fallow deer,1589,439,1150,family_mismatch_high_confidence,0,0,1589,4,0,0,1589,4
domestic sheep,1375,480,894,match_level_no_match,1,187,1562,4,0,0,1375,4
common warthog,1553,914,639,match_level_no_match,0,0,1553,4,0,0,1553,4
brown bear,1523,557,966,match_level_no_match,0,0,1523,4,0,0,1523,4
brown-throated sloth,1518,0,1518,match_level_no_match,0,0,1518,4,0,0,1518,4
rhinoceros family,1512,41,1471,match_level_no_match,0,0,1512,4,0,0,1512,4
cheetah,1041,728,313,match_level_no_match,0,135,863,3,0,0,728,3
tiger,849,540,309,match_level_no_match,0,258,798,3,0,0,540,3
spotted hyaena,1233,640,593,match_level_no_match,0,0,640,3,0,0,640,3
collared peccary,1419,521,898,match_level_no_match,0,0,521,3,0,0,521,3
giraffe,324,260,64,match_level_no_match,0,220,480,3,0,0,260,2
mountain zebra,483,407,76,match_level_no_match,0,0,467,2,467,16,467,2
gemsbok,818,438,380,low_speciesnet_confidence,0,0,438,3,0,0,438,2
waterbuck,1444,437,1007,match_level_order,0,0,437,3,0,0,437,2
jaguar,561,436,125,match_level_no_match,0,0,436,3,0,0,436,2
blackbuck,448,0,448,match_level_no_match,0,0,428,2,428,20,428,2
grey fox,1116,425,691,match_level_no_match,0,0,425,3,0,0,425,2
sable antelope,426,97,329,family_mismatch_high_confidence,0,0,424,2,424,2,424,2
swamp wallaby,1377,420,957,match_level_no_match,0,0,420,3,0,0,420,2
hippopotamus,1319,298,1021,match_level_no_match,0,120,418,3,0,0,298,2
alpine ibex,1294,418,875,match_level_no_match,1,0,418,3,0,0,418,2
thomson's gazelle,452,337,115,match_level_no_match,0,0,417,2,417,35,417,2
common duiker,472,66,406,match_level_order,0,0,413,2,413,59,413,2
japanese macaque,481,126,355,low_speciesnet_confidence,0,0,412,2,412,69,412,2
south american coati,1014,411,603,match_level_no_match,0,0,411,3,0,0,411,2
dingo,16,10,6,low_speciesnet_confidence,0,387,399,2,12,4,12,2
domestic donkey,1200,325,874,match_level_class,1,73,398,3,0,0,325,2
hartebeest,877,386,491,match_level_no_match,0,0,386,3,0,0,386,2
common eland,962,385,577,match_level_no_match,0,0,385,3,0,0,385,2
meerkat,412,1,411,match_level_no_match,0,0,364,2,364,48,364,2
snow leopard,53,31,22,match_level_no_match,0,311,363,2,52,0,52,2
ring-tailed lemur,452,0,452,match_level_class,0,0,358,2,358,94,358,2
sika deer,1136,354,782,family_mismatch_high_confidence,0,0,354,3,0,0,354,2
grey wolf,550,244,306,match_level_no_match,0,104,348,3,0,0,244,2
red kangaroo,344,35,309,match_level_class,0,36,342,2,306,38,306,2
quokka,366,18,348,match_level_class,0,0,341,2,341,25,341,2
puma,452,181,271,match_level_no_match,0,0,338,2,338,114,338,2
cercopithecus species,1420,337,1083,match_level_no_match,0,0,337,3,0,0,337,2
northern chamois,1269,315,954,match_level_no_match,0,0,315,3,0,0,315,2
bushbuck,391,181,210,match_level_order,0,0,307,2,307,84,307,2
golden jackal,781,304,477,low_speciesnet_confidence,0,0,304,3,0,0,304,2
domestic goat,183,74,109,family_mismatch_high_confidence,0,154,297,2,143,38,143,2
dromedary camel,420,108,309,match_level_order,3,0,296,2,296,124,296,2
grant's gazelle,528,294,234,family_mismatch_high_confidence,0,0,294,3,0,0,294,2
kob,289,79,210,family_mismatch_high_confidence,0,0,286,2,286,3,286,2
red panda,197,36,161,match_level_no_match,0,100,283,2,183,14,183,2
nyala,957,277,680,low_speciesnet_confidence,0,0,277,3,0,0,277,2
bornean orangutan,423,154,269,match_level_no_match,0,123,277,3,0,0,154,2
sambar,851,274,577,family_mismatch_high_confidence,0,0,274,3,0,0,274,2
chital,1169,263,906,family_mismatch_high_confidence,0,0,263,3,0,0,263,2
giant anteater,355,114,241,match_level_no_match,0,0,258,2,258,97,258,2
giant otter,442,112,330,match_level_no_match,0,0,251,2,251,191,251,2
muntjac genus,1049,250,799,match_level_no_match,0,0,250,3,0,0,250,2
roan antelope,278,43,235,match_level_no_match,0,0,250,2,250,28,250,2
springbok,759,247,512,match_level_no_match,0,0,247,3,0,0,247,2
eurasian otter,434,26,408,match_level_no_match,0,0,247,2,247,187,247,2
tayra,317,66,251,match_level_no_match,0,0,243,2,243,74,243,2
lowland tapir,294,100,194,match_level_class,0,0,243,2,243,51,243,2
european bison,265,82,183,family_mismatch_high_confidence,0,0,243,2,243,22,243,2
common wombat,614,136,477,match_level_class,1,105,241,3,0,0,136,2
glaucomys species,372,12,360,match_level_no_match,0,0,240,2,240,132,240,2
african wild dog,907,229,678,match_level_class,0,0,229,3,0,0,229,2
chimpanzee,335,30,305,match_level_no_match,0,0,216,2,216,119,216,2
american badger,389,58,330,match_level_no_match,1,0,215,2,215,174,215,2
kirk's dik-dik,215,120,95,match_level_order,0,0,200,2,200,15,200,2
bat-eared fox,228,18,210,low_speciesnet_confidence,0,0,190,2,190,38,190,2
dhole,202,46,156,match_level_class,0,0,190,2,190,12,190,2
grevy's zebra,209,185,24,match_level_no_match,0,0,188,2,188,21,188,2
blesbok,823,185,638,low_speciesnet_confidence,0,0,185,3,0,0,185,2
baird's tapir,323,61,262,match_level_no_match,0,0,184,2,184,139,184,2
asian elephant,1301,164,1134,family_mismatch_high_confidence,3,17,181,3,0,0,164,2
gerenuk,180,71,109,family_mismatch_high_confidence,0,0,177,2,177,3,177,2
american mink,194,16,178,match_level_no_match,0,45,176,2,131,62,131,2
patas monkey,179,12,167,match_level_no_match,0,0,175,2,175,3,175,2
serval,196,85,111,family_mismatch_high_confidence,0,0,170,2,170,25,170,2
giant panda,125,41,84,match_level_no_match,0,47,169,2,122,3,122,2
steenbok,957,167,790,match_level_no_match,0,0,167,3,0,0,167,2
black wildebeest,170,51,119,family_mismatch_high_confidence,0,0,162,2,162,8,162,2
eurasian lynx,200,107,93,match_level_no_match,0,0,161,2,161,39,161,2
caracal,171,16,155,match_level_no_match,0,0,159,2,159,12,159,2
spectacled bear,201,21,180,match_level_no_match,0,0,153,2,153,48,153,2
canada lynx,166,47,119,match_level_no_match,0,0,151,2,151,15,151,2
martes species,1298,145,1153,match_level_no_match,0,0,145,3,0,0,145,2
nine-banded armadillo,240,110,130,match_level_no_match,0,0,145,2,145,95,145,2
gorilla species,550,82,468,match_level_class,0,59,141,3,0,0,82,2
eurasian badger,460,76,384,match_level_no_match,0,0,141,2,141,319,141,2
saimiri species,1327,138,1189,match_level_no_match,0,0,138,3,0,0,138,2
water deer,152,16,136,family_mismatch_high_confidence,0,0,133,2,133,18,133,2
leopardus species,271,57,214,match_level_no_match,0,0,132,2,132,139,132,2
genet genus,227,10,216,match_level_no_match,1,0,132,2,132,95,132,2
kinkajou,160,2,158,match_level_no_match,0,0,125,2,125,35,125,2
ringtail,186,10,176,match_level_no_match,0,0,123,2,123,63,123,2
colobus species,663,117,546,match_level_no_match,0,0,117,3,0,0,117,2
black-backed jackal,127,72,55,low_speciesnet_confidence,0,0,112,2,112,15,112,2
wild cat,126,54,72,match_level_no_match,0,0,112,2,112,14,112,2
callicebus genus,119,0,119,match_level_no_match,0,0,112,2,112,7,112,2
reindeer,835,105,730,match_level_order,0,0,105,3,0,0,105,2
raccoon dog,232,3,229,match_level_no_match,0,0,105,2,105,127,105,2
old world porcupine family,238,55,183,match_level_no_match,0,0,102,2,102,136,102,2
striped skunk,666,101,565,match_level_no_match,0,0,101,3,0,0,101,2
walrus,158,0,158,match_level_no_match,0,0,101,2,101,57,101,2
mountain goat,793,100,693,match_level_no_match,0,0,100,3,0,0,100,2
sloth bear,120,15,105,family_mismatch_high_confidence,0,0,98,2,98,22,98,1
yak,127,44,83,match_level_class,0,0,97,2,97,30,97,1
fisher,131,32,99,match_level_no_match,0,0,92,2,92,39,92,1
striped hyaena,105,22,83,match_level_order,0,0,89,2,89,16,89,1
asiatic black bear,104,35,69,match_level_no_match,0,0,88,2,88,15,88,1
leopard cat,105,27,78,match_level_no_match,0,0,87,2,87,18,87,1
cephalophus species,124,17,107,match_level_order,0,0,86,2,86,38,86,1
ocelot,99,43,56,match_level_no_match,0,0,84,1,84,15,84,1
sun bear,83,18,65,low_speciesnet_confidence,0,14,78,1,64,19,64,1
asiatic wild ass,84,7,77,match_level_class,0,0,78,1,78,6,78,1
maned wolf,88,35,53,match_level_no_match,0,0,76,1,76,12,76,1
leaf monkeys genus,693,74,619,match_level_no_match,0,0,74,3,0,0,74,1
honey badger,97,6,91,match_level_no_match,0,0,72,1,72,25,72,1
klipspringer,701,68,633,match_level_no_match,0,0,68,3,0,0,68,1
reedbuck genus,514,65,449,match_level_order,0,0,65,3,0,0,65,1
nilgai,549,64,485,match_level_no_match,0,0,64,3,0,0,64,1
fossa,79,6,73,low_speciesnet_confidence,0,0,62,1,62,17,62,1
domestic water buffalo,694,57,637,family_mismatch_high_confidence,0,0,57,3,0,0,57,1
brown hyaena,68,5,63,low_speciesnet_confidence,0,0,55,1,55,13,55,1
red brocket,62,18,44,family_mismatch_high_confidence,0,0,47,1,47,15,47,1
pinniped clade,55,0,55,match_level_no_match,0,0,47,1,47,8,47,1
saiga,50,0,50,match_level_no_match,0,0,47,1,47,3,47,1
wolverine,69,10,59,match_level_no_match,0,0,46,1,46,23,46,1
pangolin family,52,2,50,match_level_no_match,0,0,45,1,45,7,45,1
mangabeys genus,54,12,42,match_level_no_match,0,0,42,1,42,12,42,1
red river hog,53,16,37,low_speciesnet_confidence,0,0,42,1,42,7,42,1
aardwolf,47,9,38,family_mismatch_high_confidence,0,0,39,1,39,8,39,1
bongo,39,11,28,family_mismatch_high_confidence,0,0,39,1,39,0,39,1
ateles species,1437,38,1399,match_level_no_match,0,0,38,3,0,0,38,1
pikas genus,1484,31,1453,match_level_no_match,0,0,31,3,0,0,31,1
binturong,36,0,36,match_level_no_match,0,0,31,1,31,5,31,1
aardvark,54,0,54,match_level_class,0,0,28,1,28,25,28,1
spilogale species,37,2,35,match_level_no_match,0,0,24,1,24,13,24,1
red-necked wallaby,30,15,15,match_level_class,0,0,23,1,23,7,23,1
clouded leopard,25,0,25,family_mismatch_high_confidence,0,0,23,1,23,2,23,1
malay tapir,21,9,12,match_level_no_match,0,0,21,1,21,0,21,1
aye-aye,29,0,29,match_level_no_match,0,0,18,1,18,11,18,1
drill,23,2,21,low_speciesnet_confidence,0,0,15,1,15,8,15,1
domestic pig,15,10,5,match_level_no_match,0,0,14,1,14,1,14,1
giant armadillo,11,2,9,match_level_no_match,0,0,10,1,10,1,10,1
rock hyrax,1336,7,1329,match_level_class,0,0,7,3,0,0,7,1
hog badger genus,18,3,15,match_level_class,0,0,7,1,7,11,7,1
african civet,28,6,22,match_level_order,0,0,6,1,6,21,6,1
mouflon,6,2,4,family_mismatch_high_confidence,0,0,6,1,6,0,6,1
saguinus species,1065,5,1060,match_level_no_match,0,0,5,3,0,0,5,1
eulemur species,880,2,878,match_level_no_match,0,0,2,3,0,0,2,1
sea otter,1404,0,1404,match_level_no_match,0,0,0,3,0,0,0,1
hoffmann's two-toed sloth,667,0,667,match_level_no_match,0,0,0,3,0,0,0,1
grevys zebra,16,0,16,not_in_225_classes,0,0,0,1,0,0,0,1
kirks dik-dik,11,0,11,not_in_225_classes,0,0,0,1,0,0,0,1
bairds tapir,9,0,9,not_in_225_classes,0,0,0,1,0,0,0,1
thomsons gazelle,9,0,9,not_in_225_classes,0,0,0,1,0,0,0,1
grants gazelle,7,0,7,not_in_225_classes,0,0,0,1,0,0,0,1
hoffmanns two-toed sloth,7,0,7,not_in_225_classes,0,0,0,1,0,0,0,1
human,5,0,5,match_level_no_match,0,0,0,1,0,5,0,1
