generator,prompt_regime,in_core_grid,n_seeds,map_mean,map_std,map_50_mean,map_50_std,map_75_mean,map_75_std,map_medium_mean,map_medium_std,map_large_mean,map_large_std,mar_1_mean,mar_1_std,mar_10_mean,mar_10_std,mar_100_mean,mar_100_std,mar_medium_mean,mar_medium_std,mar_large_mean,mar_large_std,confusion_overall_mean,confusion_overall_std,confusion_zebra_mean,confusion_zebra_std
gpt-image-2-low,full,True,2,0.1295461244881153,0.016588088148288844,0.22231388092041016,0.024627267595309855,0.13671650364995003,0.01808356370057664,0.03604466654360294,0.0014147195563628927,0.1406780257821083,0.018092219609589566,0.35728055238723755,0.016504705876866102,0.4398537874221802,0.008947944526256846,0.4563217908143997,0.01115932644735069,0.15666409581899643,0.00512475121427301,0.49137160181999207,0.01079098406478973,0.1691139956913864,0.03165288488683126,0.2537892510419983,0.045804760223528376
gpt-image-2-low,compressed,True,2,0.07510792836546898,0.0007092945819458995,0.13691650331020355,0.006232001608214835,0.07243449613451958,0.002328439524476788,0.007831268478184938,0.0019057402196824278,0.0832003653049469,0.0002237892288807196,0.23823020607233047,0.013311418289301833,0.3201577812433243,0.014962615910125257,0.3339373469352722,0.013982933489913781,0.01238195225596428,0.00702652765456189,0.3729226291179657,0.015101384408847375,0.23709452517535626,0.027096250256944027,0.41438042346686743,0.03682225604898258
gemini-3.1-flash-lite-image,full,True,2,0.09394379705190659,0.008592204051400645,0.17387798428535461,0.012456669664788774,0.09463216364383698,0.008639640329399657,0.019172189757227898,0.0016968769020751365,0.10287034884095192,0.009738687892950048,0.27456754446029663,0.004831082510561228,0.3635772615671158,0.008337215617909736,0.37699759006500244,0.008655698278682308,0.05914208106696606,0.007797401416360238,0.4173286259174347,0.011718425466271954,0.13736135619965412,0.01503122755306082,0.2045859595343002,0.018205918149628682
gemini-3.1-flash-lite-image,compressed,True,2,0.04798763804137707,0.002628880699908664,0.09714517742395401,0.01032730551089713,0.04212139546871185,8.386696018061526e-05,0.0039240040350705385,0.00027698283224076973,0.05344759672880173,0.002462271573567068,0.1852114126086235,0.005063722577629236,0.2544967234134674,0.0034822990645155976,0.26350295543670654,0.0016228644019119747,0.023717555217444897,0.0030373139550265945,0.2936132401227951,0.0015295302058845998,0.2631154388403371,0.010822391245055655,0.3885001982203613,0.01577241327154439
gpt-image-2-medium,full,False,2,0.13159175962209702,0.007885327644888059,0.21744686365127563,0.004440001903228643,0.14151979982852936,0.010254897225155416,0.04156758822500706,0.0012094433306905831,0.1425783559679985,0.00895408742942731,0.35042862594127655,0.01641853664508558,0.4468262791633606,0.013090221091604534,0.4630790203809738,0.009536124870650628,0.18126172572374344,0.0114798005467154,0.4948205053806305,0.009313652730785873,0.15446446849140674,0.0023978436548834896,0.23954332946797707,0.0025482336607413826
