genus_label,genus_scientific,species_scientific,species_common_name,source,inat_observation_count
rattus genus,rattus,rattus ranjiniae,,inat,
rattus genus,rattus,rattus rattus,house rat,speciesnet+inat,
rattus genus,rattus,rattus richardsoni,,inat,
rattus genus,rattus,rattus sakeratensis,,inat,
rattus genus,rattus,rattus salocco,,inat,
rattus genus,rattus,rattus sanila,,inat,
rattus genus,rattus,rattus satarae,,inat,
rattus genus,rattus,rattus simalurensis,,inat,
rattus genus,rattus,rattus sordidus,,inat,
rattus genus,rattus,rattus steini,,inat,
rattus genus,rattus,rattus stoicus,,inat,
rattus genus,rattus,rattus taliabuensis,,inat,
rattus genus,rattus,rattus tanezumi,oriental house rat,speciesnet+inat,
rattus genus,rattus,rattus tawitawiensis,,inat,
rattus genus,rattus,rattus timorensis,,inat,
rattus genus,rattus,rattus tiomanicus,malaysian field rat,speciesnet+inat,
rattus genus,rattus,rattus tunneyi,,inat,
rattus genus,rattus,rattus vandeuseni,,inat,
rattus genus,rattus,rattus verecundus,,inat,
rattus genus,rattus,rattus villosissimus,,inat,
rattus genus,rattus,rattus xanthurus,,inat,
reedbuck genus,redunca,redunca arundinum,,inat,
reedbuck genus,redunca,redunca fulvorufula,mountain reedbuck,speciesnet+inat,
reedbuck genus,redunca,redunca redunca,bohor reedbuck,speciesnet+inat,
saguinus species,saguinus,leontocebus fuscicollis,saddleback tamarin,speciesnet,
saguinus species,saguinus,saguinus bicolor,,inat,
saguinus species,saguinus,saguinus cruzlimai,,speciesnet+inat,
saguinus species,saguinus,saguinus fuscicollis,,inat,
saguinus species,saguinus,saguinus fuscus,,inat,
saguinus species,saguinus,saguinus geoffroyi,,inat,
saguinus species,saguinus,saguinus illigeri,,inat,
saguinus species,saguinus,saguinus imperator,emperor tamarin,speciesnet+inat,
saguinus species,saguinus,saguinus inustus,,inat,
saguinus species,saguinus,saguinus kulina,,inat,
saguinus species,saguinus,saguinus labiatus,,inat,
saguinus species,saguinus,saguinus lagonotus,,inat,
saguinus species,saguinus,saguinus leucogenys,,inat,
saguinus species,saguinus,saguinus leucopus,,inat,
saguinus species,saguinus,saguinus martinsi,,inat,
saguinus species,saguinus,saguinus melanoleucus,white/crandall's saddleback tamarin,speciesnet+inat,
saguinus species,saguinus,saguinus midas,,inat,
saguinus species,saguinus,saguinus mystax,,inat,
saguinus species,saguinus,saguinus niger,black-handed tamarin,speciesnet+inat,
saguinus species,saguinus,saguinus nigricollis,black mantle tamarin,speciesnet+inat,
saguinus species,saguinus,saguinus nigrifrons,,inat,
saguinus species,saguinus,saguinus oedipus,,inat,
saguinus species,saguinus,saguinus pileatus,,inat,
saguinus species,saguinus,saguinus subgrisescens,,speciesnet+inat,
saguinus species,saguinus,saguinus tripartitus,golden-mantle saddleback tamarin,speciesnet+inat,
saguinus species,saguinus,saguinus ursula,,inat,
saguinus species,saguinus,saguinus weddelli,,inat,
saimiri species,saimiri,saimiri boliviensis,bolivian/peruvian squirrel monkey,speciesnet+inat,
saimiri species,saimiri,saimiri cassiquiarensis,,inat,
saimiri species,saimiri,saimiri collinsi,,inat,
saimiri species,saimiri,saimiri macrodon,,inat,
saimiri species,saimiri,saimiri oerstedii,,inat,
saimiri species,saimiri,saimiri sciureus,common squirrel monkey,speciesnet+inat,
saimiri species,saimiri,saimiri ustus,,inat,
saimiri species,saimiri,saimiri vanzolinii,,inat,
spilogale species,spilogale,spilogale angustifrons,southern spotted skunk,speciesnet+inat,
spilogale species,spilogale,spilogale gracilis,western spotted skunk,speciesnet+inat,
spilogale species,spilogale,spilogale interrupta,,inat,
spilogale species,spilogale,spilogale leucoparia,,inat,
spilogale species,spilogale,spilogale putorius,eastern spotted skunk,speciesnet+inat,
spilogale species,spilogale,spilogale pygmaea,,inat,
spilogale species,spilogale,spilogale yucatanensis,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus andinus,,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus apollinaris,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus aquaticus,swamp rabbit,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus audubonii,desert cottontail,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus bachmani,brush rabbit,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus brasiliensis,common tapeti,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus cognatus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus cunicularius,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus daulensis,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus defilippi,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus dicei,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus floridanus,eastern cottontail,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus fulvescens,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus gabbi,,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus graysoni,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus holzneri,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus hondurensis,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus idahoensis,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus incitatus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus insolitus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus insonus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus mansuetus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus nicefori,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus nuttallii,mountain cottontail,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus obscurus,appalachian cottontail,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus palustris,marsh rabbit,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus parentum,,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus robustus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus salentus,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus sanctaemartae,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus sanctamartae,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus surdaster,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus tapetillus,,speciesnet+inat,
cottontail rabbits genus,sylvilagus,sylvilagus transitionalis,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus varynaensis,,inat,
cottontail rabbits genus,sylvilagus,sylvilagus yucatanicus,,inat,
chipmunk genus,tamias,eutamias sibiricus,siberian chipmunk,speciesnet+inat,
chipmunk genus,tamias,eutamias umbrinus,,inat,
chipmunk genus,tamias,neotamias alpinus,,inat,
chipmunk genus,tamias,neotamias amoenus,yellow-pine chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias bulleri,,inat,
chipmunk genus,tamias,neotamias canipes,,inat,
chipmunk genus,tamias,neotamias cinereicollis,,inat,
chipmunk genus,tamias,neotamias cratericus,,inat,
chipmunk genus,tamias,neotamias dorsalis,cliff chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias durangae,,speciesnet+inat,
chipmunk genus,tamias,neotamias grisescens,,inat,
chipmunk genus,tamias,neotamias merriami,merriam's chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias minimus,least chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias obscurus,california chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias ochrogenys,,inat,
chipmunk genus,tamias,neotamias palmeri,,inat,
chipmunk genus,tamias,neotamias panamintinus,,inat,
chipmunk genus,tamias,neotamias quadrimaculatus,,inat,
chipmunk genus,tamias,neotamias quadrivittatus,colorado chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias ruficaudus,,inat,
chipmunk genus,tamias,neotamias rufus,,inat,
chipmunk genus,tamias,neotamias senex,shadow chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias siskiyou,siskiyou chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias solivagus,,inat,
chipmunk genus,tamias,neotamias sonomae,sonoma chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias speciosus,lodgepole chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias townsendii,townsend's chipmunk,speciesnet+inat,
chipmunk genus,tamias,neotamias umbrinus,uinta chipmunk,speciesnet+inat,
chipmunk genus,tamias,tamias alpinus,,inat,
chipmunk genus,tamias,tamias amoenus,,inat,
chipmunk genus,tamias,tamias bulleri,,inat,
chipmunk genus,tamias,tamias canipes,,inat,
chipmunk genus,tamias,tamias cinereicollis,,inat,
chipmunk genus,tamias,tamias dorsalis,,inat,
chipmunk genus,tamias,tamias durangae,,inat,
chipmunk genus,tamias,tamias merriami,,inat,
chipmunk genus,tamias,tamias minimus,,inat,
chipmunk genus,tamias,tamias obscurus,,inat,
chipmunk genus,tamias,tamias ochrogenys,,inat,
chipmunk genus,tamias,tamias palmeri,,inat,
chipmunk genus,tamias,tamias panamintinus,,inat,
chipmunk genus,tamias,tamias quadrimaculatus,,inat,
chipmunk genus,tamias,tamias quadrivittatus,,inat,
chipmunk genus,tamias,tamias ruficaudus,,inat,
chipmunk genus,tamias,tamias rufus,,inat,
chipmunk genus,tamias,tamias senex,,inat,
chipmunk genus,tamias,tamias sibiricus,,inat,
chipmunk genus,tamias,tamias siskiyou,,inat,
chipmunk genus,tamias,tamias sonomae,,inat,
chipmunk genus,tamias,tamias speciosus,,inat,
chipmunk genus,tamias,tamias striatus,eastern chipmunk,speciesnet+inat,
chipmunk genus,tamias,tamias townsendii,,inat,
chipmunk genus,tamias,tamias umbrinus,,inat,
