family_label,family_scientific,genus_scientific,species_scientific,species_common_name,source,inat_observation_count
muridae family,muridae,chiromyscus,chiromyscus thomasi,,inat,
muridae family,muridae,chiropodomys,chiropodomys calamianensis,palawan pencil-tailed tree mouse,speciesnet+inat,
muridae family,muridae,chiropodomys,chiropodomys gliroides,,inat,
muridae family,muridae,chiropodomys,chiropodomys karlkoopmani,,inat,
muridae family,muridae,chiropodomys,chiropodomys major,,inat,
muridae family,muridae,chiropodomys,chiropodomys muroides,,inat,
muridae family,muridae,chiropodomys,chiropodomys pusillus,,inat,
muridae family,muridae,chiruromys,chiruromys forbesi,,inat,
muridae family,muridae,chiruromys,chiruromys lamia,,inat,
muridae family,muridae,chiruromys,chiruromys vates,,inat,
muridae family,muridae,chrotomys,chrotomys gonzalesi,,inat,
muridae family,muridae,chrotomys,chrotomys mindorensis,,inat,
muridae family,muridae,chrotomys,chrotomys sibuyanensis,,inat,
muridae family,muridae,chrotomys,chrotomys silaceus,,inat,
muridae family,muridae,chrotomys,chrotomys whiteheadi,,inat,
muridae family,muridae,coccymys,coccymys albidens,,inat,
muridae family,muridae,coccymys,coccymys kirrhos,,inat,
muridae family,muridae,coccymys,coccymys ruemmleri,,inat,
muridae family,muridae,coccymys,coccymys shawmayeri,,inat,
muridae family,muridae,colomys,colomys eisentrauti,,inat,
muridae family,muridae,colomys,colomys goslingi,african wading rat,speciesnet+inat,
muridae family,muridae,colomys,colomys lumumbai,,inat,
muridae family,muridae,colomys,colomys wologizi,,inat,
muridae family,muridae,congomys,congomys lukolelae,,inat,
muridae family,muridae,congomys,congomys verschureni,,inat,
muridae family,muridae,conilurus,conilurus albipes,,inat,
muridae family,muridae,conilurus,conilurus capricornensis,,inat,
muridae family,muridae,conilurus,conilurus penicillatus,,inat,
muridae family,muridae,coryphomys,coryphomys buehleri,,inat,
muridae family,muridae,coryphomys,coryphomys musseri,,inat,
muridae family,muridae,crateromys,crateromys australis,,inat,
muridae family,muridae,crateromys,crateromys heaneyi,,inat,
muridae family,muridae,crateromys,crateromys paulus,,inat,
muridae family,muridae,crateromys,crateromys schadenbergi,,inat,
muridae family,muridae,cremnomys,cremnomys cutchicus,,inat,
muridae family,muridae,cremnomys,cremnomys elvira,,inat,
muridae family,muridae,crossomys,crossomys moncktoni,,inat,
muridae family,muridae,crunomys,crunomys celebensis,,inat,
muridae family,muridae,crunomys,crunomys fallax,,inat,
muridae family,muridae,crunomys,crunomys melanius,,inat,
muridae family,muridae,crunomys,crunomys suncoides,,inat,
muridae family,muridae,dacnomys,dacnomys millardi,,inat,
muridae family,muridae,dasymys,dasymys alleni,,inat,
muridae family,muridae,dasymys,dasymys cabrali,,inat,
muridae family,muridae,dasymys,dasymys capensis,,inat,
muridae family,muridae,dasymys,dasymys foxi,,inat,
muridae family,muridae,dasymys,dasymys griseifrons,,inat,
muridae family,muridae,dasymys,dasymys incomtus,,inat,
muridae family,muridae,dasymys,dasymys longipilosus,,inat,
muridae family,muridae,dasymys,dasymys medius,,inat,
muridae family,muridae,dasymys,dasymys montanus,,inat,
muridae family,muridae,dasymys,dasymys nudipes,,inat,
muridae family,muridae,dasymys,dasymys robertsii,,inat,
muridae family,muridae,dasymys,dasymys rufulus,,inat,
muridae family,muridae,dasymys,dasymys rwandae,,inat,
muridae family,muridae,dasymys,dasymys sua,,inat,
muridae family,muridae,deomys,deomys ferrugineus,congo forest mouse,speciesnet+inat,
muridae family,muridae,dephomys,dephomys defua,,inat,
muridae family,muridae,dephomys,dephomys eburnae,,inat,
muridae family,muridae,desmodilliscus,desmodilliscus braueri,,inat,
muridae family,muridae,desmodillus,desmodillus auricularis,,inat,
muridae family,muridae,desmomys,desmomys harringtoni,,inat,
muridae family,muridae,desmomys,desmomys yaldeni,,inat,
muridae family,muridae,diomys,diomys crumpi,,inat,
muridae family,muridae,diplothrix,diplothrix legata,,inat,
muridae family,muridae,dipodillus,dipodillus maghrebi,,inat,
muridae family,muridae,echiothrix,echiothrix centrosa,,inat,
muridae family,muridae,echiothrix,echiothrix leucura,,inat,
muridae family,muridae,eropeplus,eropeplus canus,,inat,
muridae family,muridae,frateromys,frateromys fratrorum,,inat,
muridae family,muridae,,gerbilliscus afer,,inat,
muridae family,muridae,,gerbilliscus boehmi,,inat,
muridae family,muridae,,gerbilliscus brantsii,,inat,
muridae family,muridae,,gerbilliscus gambianus,,inat,
muridae family,muridae,,gerbilliscus giffardi,,inat,
muridae family,muridae,,gerbilliscus guineae,,inat,
muridae family,muridae,,gerbilliscus inclusus,,inat,
muridae family,muridae,,gerbilliscus kempii,,inat,
muridae family,muridae,,gerbilliscus leucogaster,,inat,
muridae family,muridae,,gerbilliscus nigricaudus,,inat,
muridae family,muridae,,gerbilliscus paeba,,inat,
muridae family,muridae,,gerbilliscus phillipsi,,inat,
muridae family,muridae,,gerbilliscus robustus,,inat,
muridae family,muridae,,gerbilliscus setzeri,,inat,
muridae family,muridae,,gerbilliscus tytonis,,inat,
muridae family,muridae,,gerbilliscus validus,,inat,
muridae family,muridae,,gerbilliscus vallinus,,inat,
muridae family,muridae,,gerbilliscus vicinus,,inat,
muridae family,muridae,gerbillurus,gerbillurus paeba,,inat,
muridae family,muridae,gerbillurus,gerbillurus setzeri,,inat,
muridae family,muridae,gerbillurus,gerbillurus tytonis,,inat,
muridae family,muridae,gerbillurus,gerbillurus vallinus,,inat,
muridae family,muridae,,gerbillus acticola,,inat,
muridae family,muridae,,gerbillus agag,,inat,
muridae family,muridae,,gerbillus amoenus,,inat,
muridae family,muridae,,gerbillus andersoni,,inat,
muridae family,muridae,,gerbillus aquilus,,inat,
muridae family,muridae,,gerbillus bottai,,inat,
muridae family,muridae,,gerbillus brockmani,,inat,
muridae family,muridae,gerbillus,gerbillus burtoni,,inat,
muridae family,muridae,,gerbillus campestris,,inat,
muridae family,muridae,,gerbillus cheesmani,,inat,
muridae family,muridae,gerbillus,gerbillus cosensis,,inat,
muridae family,muridae,,gerbillus dasyurus,,inat,
muridae family,muridae,,gerbillus dunni,,inat,
muridae family,muridae,,gerbillus famulus,,inat,
muridae family,muridae,,gerbillus floweri,,inat,
muridae family,muridae,gerbillus,gerbillus garamantis,,speciesnet+inat,
muridae family,muridae,,gerbillus gerbillus,,inat,
muridae family,muridae,,gerbillus gleadowi,,inat,
muridae family,muridae,,gerbillus grobbeni,,inat,
muridae family,muridae,,gerbillus harwoodi,,inat,
muridae family,muridae,,gerbillus henleyi,,inat,
muridae family,muridae,,gerbillus hesperinus,,inat,
muridae family,muridae,,gerbillus hoogstraali,,inat,
muridae family,muridae,,gerbillus jamesi,,inat,
muridae family,muridae,gerbillus,gerbillus juliani,,inat,
muridae family,muridae,,gerbillus latastei,,inat,
muridae family,muridae,,gerbillus lowei,,inat,
muridae family,muridae,,gerbillus mackilligini,,inat,
muridae family,muridae,,gerbillus maghrebi,,inat,
muridae family,muridae,gerbillus,gerbillus mauritaniae,,inat,
muridae family,muridae,,gerbillus mesopotamiae,,inat,
muridae family,muridae,,gerbillus muriculus,,inat,
muridae family,muridae,,gerbillus nancillus,,inat,
muridae family,muridae,,gerbillus nanus,,inat,
muridae family,muridae,,gerbillus nigeriae,,inat,
muridae family,muridae,,gerbillus occiduus,,inat,
muridae family,muridae,gerbillus,gerbillus percivali,,inat,
muridae family,muridae,gerbillus,gerbillus perpallidus,,inat,
muridae family,muridae,,gerbillus poecilops,,inat,
muridae family,muridae,,gerbillus principulus,,inat,
muridae family,muridae,,gerbillus pulvinatus,,inat,
muridae family,muridae,,gerbillus pusillus,,inat,
muridae family,muridae,,gerbillus pyramidum,,inat,
muridae family,muridae,,gerbillus rosalinda,,inat,
muridae family,muridae,,gerbillus rupicola,,inat,
muridae family,muridae,,gerbillus simoni,,inat,
muridae family,muridae,,gerbillus somalicus,,inat,
muridae family,muridae,,gerbillus stigmonyx,,inat,
muridae family,muridae,,gerbillus syrticus,,inat,
muridae family,muridae,,gerbillus tarabuli,,inat,
muridae family,muridae,,gerbillus vivax,,inat,
muridae family,muridae,,gerbillus watersi,,inat,
muridae family,muridae,golunda,golunda ellioti,,inat,
muridae family,muridae,gracilimus,gracilimus radix,,inat,
muridae family,muridae,grammomys,grammomys aridulus,,inat,
muridae family,muridae,grammomys,grammomys brevirostris,,inat,
muridae family,muridae,grammomys,grammomys buntingi,,inat,
muridae family,muridae,grammomys,grammomys caniceps,,inat,
muridae family,muridae,grammomys,grammomys cometes,,inat,
muridae family,muridae,grammomys,grammomys dolichurus,,inat,
muridae family,muridae,grammomys,grammomys dryas,,inat,
muridae family,muridae,grammomys,grammomys gigas,,inat,
muridae family,muridae,grammomys,grammomys ibeanus,,inat,
muridae family,muridae,grammomys,grammomys kuru,,inat,
muridae family,muridae,grammomys,grammomys macmillani,,inat,
muridae family,muridae,grammomys,grammomys minnae,,inat,
muridae family,muridae,grammomys,grammomys polionops,,inat,
muridae family,muridae,grammomys,grammomys selousi,,inat,
muridae family,muridae,grammomys,grammomys surdaster,,inat,
muridae family,muridae,hadromys,hadromys humei,,inat,
muridae family,muridae,hadromys,hadromys yunnanensis,,inat,
muridae family,muridae,haeromys,haeromys margarettae,,inat,
muridae family,muridae,haeromys,haeromys minahassae,,inat,
muridae family,muridae,haeromys,haeromys pusillus,,inat,
muridae family,muridae,halmaheramys,halmaheramys bokimekot,,inat,
muridae family,muridae,halmaheramys,halmaheramys wallacei,,inat,
muridae family,muridae,hapalomys,hapalomys delacouri,,inat,
muridae family,muridae,hapalomys,hapalomys longicaudatus,,inat,
muridae family,muridae,heimyscus,heimyscus fumosus,,inat,
muridae family,muridae,hybomys,hybomys badius,,inat,
muridae family,muridae,hybomys,hybomys basilii,,inat,
muridae family,muridae,hybomys,hybomys lunaris,,inat,
muridae family,muridae,hybomys,hybomys planifrons,,inat,
muridae family,muridae,hybomys,hybomys rufocanus,,inat,
muridae family,muridae,hybomys,hybomys trivirgatus,,inat,
muridae family,muridae,hybomys,hybomys univittatus,peters' hybomys,speciesnet+inat,
muridae family,muridae,hydromys,hydromys chrysogaster,common water rat,speciesnet+inat,
muridae family,muridae,hydromys,hydromys hussoni,,inat,
muridae family,muridae,hydromys,hydromys neobritannicus,,inat,
muridae family,muridae,hydromys,hydromys neobrittanicus,,inat,
muridae family,muridae,hydromys,hydromys ziegleri,,inat,
muridae family,muridae,hylomyscus,hylomyscus aeta,,inat,
muridae family,muridae,hylomyscus,hylomyscus alleni,,inat,
muridae family,muridae,hylomyscus,hylomyscus anselli,,inat,
muridae family,muridae,hylomyscus,hylomyscus arcimontensis,,inat,
muridae family,muridae,hylomyscus,hylomyscus baeri,,inat,
muridae family,muridae,hylomyscus,hylomyscus carillus,,inat,
muridae family,muridae,hylomyscus,hylomyscus denniae,,inat,
muridae family,muridae,hylomyscus,hylomyscus endorobae,,inat,
muridae family,muridae,hylomyscus,hylomyscus grandis,,inat,
muridae family,muridae,hylomyscus,hylomyscus heinrichorum,,inat,
muridae family,muridae,hylomyscus,hylomyscus kaimosae,,inat,
muridae family,muridae,hylomyscus,hylomyscus kerbispeterhansi,,inat,
muridae family,muridae,hylomyscus,hylomyscus mpungamachagorum,,inat,
muridae family,muridae,hylomyscus,hylomyscus pamfi,,inat,
muridae family,muridae,hylomyscus,hylomyscus parvus,,inat,
muridae family,muridae,hylomyscus,hylomyscus pygmaeus,,inat,
muridae family,muridae,hylomyscus,hylomyscus simus,,inat,
muridae family,muridae,hylomyscus,hylomyscus stanleyi,,inat,
muridae family,muridae,hylomyscus,hylomyscus stella,,speciesnet+inat,
muridae family,muridae,hylomyscus,hylomyscus thornesmithae,,inat,
muridae family,muridae,hylomyscus,hylomyscus vulcanorum,,inat,
muridae family,muridae,hylomyscus,hylomyscus walterverheyeni,,inat,
muridae family,muridae,hyomys,hyomys dammermani,,inat,
muridae family,muridae,hyomys,hyomys goliath,,inat,
muridae family,muridae,hyorhinomys,hyorhinomys stuempkei,,inat,
muridae family,muridae,kadarsanomys,kadarsanomys sodyi,,inat,
muridae family,muridae,komodomys,komodomys rintjanus,,inat,
muridae family,muridae,lamottemys,lamottemys okuensis,,inat,
muridae family,muridae,leggadina,leggadina forresti,,inat,
muridae family,muridae,leggadina,leggadina lakedownensis,,inat,
muridae family,muridae,leimacomys,leimacomys buettneri,,inat,
muridae family,muridae,lemniscomys,lemniscomys barbarus,,inat,
muridae family,muridae,lemniscomys,lemniscomys bellieri,,inat,
muridae family,muridae,lemniscomys,lemniscomys griselda,,inat,
muridae family,muridae,lemniscomys,lemniscomys hoogstraali,,inat,
muridae family,muridae,lemniscomys,lemniscomys linulus,,inat,
muridae family,muridae,lemniscomys,lemniscomys macculus,,inat,
muridae family,muridae,lemniscomys,lemniscomys mittendorfi,,inat,
muridae family,muridae,lemniscomys,lemniscomys rosalia,,inat,
muridae family,muridae,lemniscomys,lemniscomys roseveari,,inat,
muridae family,muridae,lemniscomys,lemniscomys striatus,,inat,
muridae family,muridae,lemniscomys,lemniscomys zebra,,inat,
muridae family,muridae,lenomys,lenomys grovesi,,inat,
muridae family,muridae,lenomys,lenomys meyeri,,inat,
muridae family,muridae,lenothrix,lenothrix cana,,inat,
muridae family,muridae,leopoldamys,leopoldamys ciliatus,,inat,
muridae family,muridae,leopoldamys,leopoldamys diwangkarai,,inat,
muridae family,muridae,leopoldamys,leopoldamys edwardsi,edward's rat,speciesnet+inat,
muridae family,muridae,leopoldamys,leopoldamys hainanensis,,inat,
muridae family,muridae,leopoldamys,leopoldamys herberti,,inat,
muridae family,muridae,leopoldamys,leopoldamys milleti,,inat,
muridae family,muridae,leopoldamys,leopoldamys neilli,,inat,
muridae family,muridae,leopoldamys,leopoldamys revertens,,inat,
muridae family,muridae,leopoldamys,leopoldamys sabanus,long-tailed giant rat,speciesnet+inat,
muridae family,muridae,leopoldamys,leopoldamys siporanus,,inat,
muridae family,muridae,leporillus,leporillus apicalis,,inat,
muridae family,muridae,leporillus,leporillus conditor,,inat,
muridae family,muridae,leptomys,leptomys arfakensis,,inat,
muridae family,muridae,leptomys,leptomys elegans,,inat,
muridae family,muridae,leptomys,leptomys ernstmayri,,inat,
muridae family,muridae,leptomys,leptomys paulus,,inat,
muridae family,muridae,leptomys,leptomys signatus,,inat,
muridae family,muridae,limnomys,limnomys bryophilus,,inat,
muridae family,muridae,limnomys,limnomys sibuanus,,inat,
muridae family,muridae,lophiomys,lophiomys imhausi,,inat,
muridae family,muridae,,lophuromys angolensis,,inat,
muridae family,muridae,,lophuromys ansorgei,,inat,
muridae family,muridae,,lophuromys aquilus,,inat,
muridae family,muridae,,lophuromys brevicaudus,,inat,
muridae family,muridae,,lophuromys brunneus,,inat,
muridae family,muridae,,lophuromys chercherensis,,inat,
muridae family,muridae,,lophuromys chrysopus,,inat,
muridae family,muridae,,lophuromys cinereus,,inat,
muridae family,muridae,,lophuromys dieterleni,,inat,
muridae family,muridae,,lophuromys dudui,,inat,
muridae family,muridae,,lophuromys eisentrauti,,inat,
muridae family,muridae,lophuromys,lophuromys flavopunctatus,yellow-spotted brush-furred rat,speciesnet+inat,
muridae family,muridae,,lophuromys huttereri,,inat,
muridae family,muridae,,lophuromys kilonzoi,,inat,
muridae family,muridae,,lophuromys laticeps,,inat,
muridae family,muridae,,lophuromys luteogaster,,inat,
muridae family,muridae,,lophuromys machangui,,inat,
muridae family,muridae,,lophuromys makundii,,inat,
muridae family,muridae,,lophuromys margarettae,,inat,
muridae family,muridae,,lophuromys medicaudatus,,inat,
muridae family,muridae,,lophuromys melanonyx,,inat,
muridae family,muridae,,lophuromys menageshae,,inat,
muridae family,muridae,,lophuromys nudicaudus,,inat,
muridae family,muridae,,lophuromys pseudosikapusi,,inat,
muridae family,muridae,,lophuromys rahmi,,inat,
muridae family,muridae,,lophuromys rita,,inat,
muridae family,muridae,,lophuromys roseveari,,inat,
muridae family,muridae,,lophuromys sabunii,,inat,
muridae family,muridae,,lophuromys sikapusi,,inat,
muridae family,muridae,,lophuromys simensis,,inat,
muridae family,muridae,,lophuromys stanleyi,,inat,
muridae family,muridae,,lophuromys verhageni,,inat,
muridae family,muridae,lophuromys,lophuromys woosnami,woosnam's brush-furred rat,speciesnet+inat,
muridae family,muridae,,lophuromys zena,,inat,
muridae family,muridae,lorentzimys,lorentzimys nouhuysii,,inat,
muridae family,muridae,macruromys,macruromys elegans,,inat,
muridae family,muridae,macruromys,macruromys major,,inat,
muridae family,muridae,madromys,madromys blanfordi,,inat,
muridae family,muridae,malacomys,malacomys cansdalei,,inat,
muridae family,muridae,malacomys,malacomys edwardsi,,inat,
muridae family,muridae,malacomys,malacomys longipes,big-eared swamp rat,speciesnet+inat,
muridae family,muridae,mallomys,mallomys aroaensis,,inat,
muridae family,muridae,mallomys,mallomys gunung,,inat,
muridae family,muridae,mallomys,mallomys istapantap,,inat,
muridae family,muridae,mallomys,mallomys rothschildi,,inat,
muridae family,muridae,malpaisomys,malpaisomys insularis,,inat,
muridae family,muridae,mammelomys,mammelomys lanosus,,inat,
muridae family,muridae,mammelomys,mammelomys rattoides,,inat,
muridae family,muridae,margaretamys,margaretamys beccarii,,inat,
muridae family,muridae,margaretamys,margaretamys christinae,,inat,
muridae family,muridae,margaretamys,margaretamys elegans,,inat,
muridae family,muridae,margaretamys,margaretamys parvus,,inat,
muridae family,muridae,mastacomys,mastacomys fuscus,broad-toothed rat,speciesnet+inat,
muridae family,muridae,mastomys,mastomys angolensis,,inat,
muridae family,muridae,mastomys,mastomys awashensis,,inat,
muridae family,muridae,mastomys,mastomys coucha,,inat,
muridae family,muridae,mastomys,mastomys erythroleucus,,inat,
muridae family,muridae,mastomys,mastomys huberti,,inat,
muridae family,muridae,mastomys,mastomys kollmannspergeri,,inat,
muridae family,muridae,mastomys,mastomys natalensis,,inat,
muridae family,muridae,mastomys,mastomys pernanus,,inat,
muridae family,muridae,mastomys,mastomys shortridgei,,inat,
muridae family,muridae,maxomys,maxomys alticola,,inat,
muridae family,muridae,maxomys,maxomys baeodon,,inat,
muridae family,muridae,maxomys,maxomys bartelsii,,inat,
muridae family,muridae,maxomys,maxomys dollmani,,inat,
muridae family,muridae,maxomys,maxomys hellwaldii,,inat,
muridae family,muridae,maxomys,maxomys hylomyoides,,inat,
muridae family,muridae,maxomys,maxomys inas,,inat,
muridae family,muridae,maxomys,maxomys inflatus,,inat,
muridae family,muridae,maxomys,maxomys moi,,inat,
muridae family,muridae,maxomys,maxomys musschenbroekii,,inat,
muridae family,muridae,maxomys,maxomys ochraceiventer,,inat,
muridae family,muridae,maxomys,maxomys pagensis,,inat,
muridae family,muridae,maxomys,maxomys panglima,,inat,
muridae family,muridae,maxomys,maxomys rajah,,inat,
muridae family,muridae,maxomys,maxomys surifer,,inat,
muridae family,muridae,maxomys,maxomys tajuddinii,,inat,
muridae family,muridae,maxomys,maxomys wattsi,,inat,
muridae family,muridae,maxomys,maxomys whiteheadi,,inat,
muridae family,muridae,melasmothrix,melasmothrix naso,,inat,
muridae family,muridae,melomys,melomys aerosus,,inat,
muridae family,muridae,melomys,melomys arcium,,inat,
muridae family,muridae,melomys,melomys bannisteri,,inat,
muridae family,muridae,melomys,melomys bougainville,,inat,
muridae family,muridae,melomys,melomys burtoni,,inat,
muridae family,muridae,melomys,melomys capensis,,inat,
muridae family,muridae,melomys,melomys caurinus,,inat,
muridae family,muridae,melomys,melomys cervinipes,,inat,
muridae family,muridae,melomys,melomys cooperae,,inat,
muridae family,muridae,melomys,melomys dollmani,,inat,
muridae family,muridae,melomys,melomys fraterculus,,inat,
muridae family,muridae,melomys,melomys frigicola,,inat,
muridae family,muridae,melomys,melomys fulgens,,inat,
muridae family,muridae,melomys,melomys howi,,inat,
muridae family,muridae,melomys,melomys leucogaster,,inat,
muridae family,muridae,melomys,melomys lutillus,,inat,
muridae family,muridae,melomys,melomys matambuai,,inat,
muridae family,muridae,melomys,melomys obiensis,,inat,
muridae family,muridae,melomys,melomys paveli,,inat,
muridae family,muridae,melomys,melomys rubicola,,inat,
muridae family,muridae,melomys,melomys rufescens,,inat,
muridae family,muridae,melomys,melomys spechti,,inat,
muridae family,muridae,melomys,melomys talaudium,,inat,
muridae family,muridae,,meriones arimalius,,inat,
muridae family,muridae,meriones,meriones chengi,,inat,
muridae family,muridae,,meriones crassus,,inat,
muridae family,muridae,meriones,meriones dahli,,inat,
muridae family,muridae,,meriones grandis,,inat,
muridae family,muridae,,meriones hurrianae,,inat,
muridae family,muridae,,meriones libycus,,inat,
muridae family,muridae,,meriones meridianus,,inat,
muridae family,muridae,,meriones penicilliger,,inat,
muridae family,muridae,,meriones persicus,,inat,
muridae family,muridae,,meriones psammophilus,,inat,
muridae family,muridae,,meriones rex,,inat,
muridae family,muridae,,meriones sacramenti,,inat,
muridae family,muridae,,meriones shawii,,inat,
muridae family,muridae,,meriones tamariscinus,,inat,
muridae family,muridae,,meriones tristrami,,inat,
muridae family,muridae,,meriones unguiculatus,,inat,
muridae family,muridae,,meriones vinogradovi,,inat,
muridae family,muridae,,meriones zarudnyi,,inat,
muridae family,muridae,mesembriomys,mesembriomys gouldii,,inat,
muridae family,muridae,mesembriomys,mesembriomys macrurus,,inat,
muridae family,muridae,micaelamys,micaelamys granti,,inat,
muridae family,muridae,micaelamys,micaelamys namaquensis,,inat,
muridae family,muridae,microdillus,microdillus peeli,,inat,
muridae family,muridae,microhydromys,microhydromys argenteus,,inat,
muridae family,muridae,microhydromys,microhydromys musseri,,inat,
muridae family,muridae,microhydromys,microhydromys richardsoni,,inat,
muridae family,muridae,micromys,micromys erythrotis,,inat,
muridae family,muridae,micromys,micromys minutus,,inat,
muridae family,muridae,micromys,micromys pygmaeus,,inat,
muridae family,muridae,millardia,millardia gleadowi,,inat,
muridae family,muridae,millardia,millardia kathleenae,,inat,
muridae family,muridae,millardia,millardia kondana,,inat,
muridae family,muridae,millardia,millardia meltada,,inat,
muridae family,muridae,mirzamys,mirzamys louiseae,,inat,
muridae family,muridae,mirzamys,mirzamys norahae,,inat,
muridae family,muridae,montemys,montemys delectorum,,inat,
muridae family,muridae,muriculus,muriculus imberbis,,inat,
muridae family,muridae,,mus baoulei,,inat,
muridae family,muridae,,mus booduga,,inat,
muridae family,muridae,,mus bufo,,inat,
muridae family,muridae,,mus callewaerti,,inat,
muridae family,muridae,,mus caroli,,inat,
muridae family,muridae,,mus cervicolor,,speciesnet+inat,
muridae family,muridae,,mus cookii,,inat,
muridae family,muridae,,mus crociduroides,,inat,
muridae family,muridae,,mus cypriacus,,inat,
muridae family,muridae,,mus famulus,,inat,
muridae family,muridae,,mus fernandoni,,inat,
muridae family,muridae,,mus fragilicauda,,inat,
muridae family,muridae,,mus goundae,,inat,
muridae family,muridae,,mus harennensis,,inat,
muridae family,muridae,,mus haussa,,inat,
muridae family,muridae,,mus imberbis,,inat,
muridae family,muridae,,mus indutus,,inat,
muridae family,muridae,,mus lepidoides,,inat,
muridae family,muridae,,mus macedonicus,,inat,
muridae family,muridae,,mus mahomet,,inat,
muridae family,muridae,,mus mattheyi,,inat,
muridae family,muridae,,mus mayori,,inat,
muridae family,muridae,mus,mus minutoides,pygmy mouse,speciesnet+inat,
muridae family,muridae,,mus musculoides,,inat,
muridae family,muridae,mus,mus musculus,house mouse,speciesnet+inat,
muridae family,muridae,,mus neavei,,inat,
muridae family,muridae,mus,mus nitidulus,,speciesnet+inat,
muridae family,muridae,mus,mus orangiae,,inat,
muridae family,muridae,,mus oubanguii,,inat,
muridae family,muridae,,mus pahari,,inat,
muridae family,muridae,,mus phillipsi,,inat,
muridae family,muridae,,mus platythrix,,inat,
muridae family,muridae,,mus saxicola,,inat,
muridae family,muridae,,mus setulosus,,inat,
muridae family,muridae,,mus setzeri,,inat,
muridae family,muridae,,mus shortridgei,,inat,
muridae family,muridae,,mus sorella,,inat,
muridae family,muridae,,mus spicilegus,,inat,
muridae family,muridae,,mus spretus,,inat,
muridae family,muridae,,mus tenellus,,inat,
muridae family,muridae,,mus terricolor,,inat,
muridae family,muridae,,mus triton,,inat,
muridae family,muridae,,mus vulcani,,inat,
muridae family,muridae,musseromys,musseromys anacuao,,inat,
muridae family,muridae,musseromys,musseromys beneficus,,inat,
muridae family,muridae,musseromys,musseromys gulantang,,inat,
muridae family,muridae,musseromys,musseromys inopinatus,,inat,
muridae family,muridae,mylomys,mylomys dybowskii,,inat,
muridae family,muridae,mylomys,mylomys rex,,inat,
muridae family,muridae,myomyscus,myomyscus angolensis,,inat,
muridae family,muridae,myomyscus,myomyscus brockmani,,inat,
muridae family,muridae,myomyscus,myomyscus verreauxi,,inat,
muridae family,muridae,myomyscus,myomyscus verreauxii,,inat,
muridae family,muridae,myomyscus,myomyscus yemeni,,inat,
muridae family,muridae,nesokia,nesokia bunnii,,inat,
muridae family,muridae,nesokia,nesokia indica,,inat,
muridae family,muridae,nesoromys,nesoromys ceramicus,,inat,
muridae family,muridae,nilopegamys,nilopegamys plumbeus,,inat,
muridae family,muridae,niviventer,niviventer andersoni,,inat,
muridae family,muridae,niviventer,niviventer brahma,,inat,
muridae family,muridae,niviventer,niviventer bukit,,inat,
muridae family,muridae,niviventer,niviventer cameroni,,inat,
muridae family,muridae,niviventer,niviventer confucianus,,inat,
muridae family,muridae,niviventer,niviventer coninga,,inat,
muridae family,muridae,niviventer,niviventer cremoriventer,,inat,
muridae family,muridae,niviventer,niviventer culturatus,,inat,
muridae family,muridae,niviventer,niviventer eha,,inat,
muridae family,muridae,niviventer,niviventer excelsior,,inat,
muridae family,muridae,niviventer,niviventer fengi,,inat,
muridae family,muridae,niviventer,niviventer fraternus,,inat,
muridae family,muridae,niviventer,niviventer fulvescens,,inat,
muridae family,muridae,niviventer,niviventer gladiusmaculus,,inat,
muridae family,muridae,niviventer,niviventer hinpoon,,inat,
muridae family,muridae,niviventer,niviventer huang,,inat,
muridae family,muridae,niviventer,niviventer langbianis,,inat,
muridae family,muridae,niviventer,niviventer lepturus,,inat,
muridae family,muridae,niviventer,niviventer lotipes,,inat,
muridae family,muridae,niviventer,niviventer mekongis,,inat,
muridae family,muridae,niviventer,niviventer niviventer,,inat,
muridae family,muridae,niviventer,niviventer pianmaensis,,inat,
muridae family,muridae,niviventer,niviventer rapit,,inat,
muridae family,muridae,niviventer,niviventer sacer,,inat,
muridae family,muridae,niviventer,niviventer tenaster,,inat,
muridae family,muridae,notomys,notomys alexis,spinifex hopping mouse,speciesnet+inat,
muridae family,muridae,notomys,notomys amplus,,inat,
muridae family,muridae,notomys,notomys aquilo,,inat,
muridae family,muridae,notomys,notomys cervinus,,inat,
muridae family,muridae,notomys,notomys fuscus,,inat,
muridae family,muridae,notomys,notomys longicaudatus,,inat,
muridae family,muridae,notomys,notomys macrotis,,inat,
muridae family,muridae,notomys,notomys mitchellii,,inat,
muridae family,muridae,notomys,notomys mordax,,inat,
muridae family,muridae,notomys,notomys robustus,,inat,
muridae family,muridae,ochromyscus,ochromyscus brockmani,,inat,
muridae family,muridae,ochromyscus,ochromyscus niveiventris,,inat,
muridae family,muridae,ochromyscus,ochromyscus yemeni,,inat,
muridae family,muridae,oenomys,oenomys hypoxanthus,rufous-nosed rat,speciesnet+inat,
muridae family,muridae,oenomys,oenomys ornatus,,inat,
muridae family,muridae,otomys,otomys anchietae,,inat,
muridae family,muridae,otomys,otomys angoniensis,,inat,
muridae family,muridae,otomys,otomys auratus,,inat,
muridae family,muridae,otomys,otomys barbouri,,inat,
muridae family,muridae,otomys,otomys burtoni,,inat,
muridae family,muridae,otomys,otomys cheesmani,,inat,
muridae family,muridae,otomys,otomys cuanzensis,,inat,
muridae family,muridae,otomys,otomys dartmouthi,,inat,
muridae family,muridae,otomys,otomys denti,,inat,
muridae family,muridae,otomys,otomys fortior,,inat,
muridae family,muridae,otomys,otomys helleri,,inat,
