common_name,scientific_name,level
aardvark,orycteropus afer,species
aardwolf,proteles cristata,species
abbott's duiker,cephalophus spadix,species
aders' duiker,cephalophus adersi,species
african buffalo,syncerus caffer,species
african civet,civettictis civetta,species
african elephant,loxodonta africana,species
african striped weasel,poecilogale albinucha,species
african wild dog,lycaon pictus,species
agile wallaby,macropus agilis,species
agouti genus,dasyprocta,genus
alpine ibex,capra ibex,species
alpine marmot,marmota marmota,species
alpine musk deer,moschus chrysogaster,species
american badger,taxidea taxus,species
american bison,bison bison,species
american black bear,ursus americanus,species
american hog-nosed skunk,conepatus leuconotus,species
american marten,martes americana,species
american mink,neovison vison,species
andean white-fronted capuchin,cebus yuracus,species
angolan colobus,colobus angolensis,species
arabian oryx,oryx leucoryx,species
argali,ovis ammon,species
argentine gray fox,lycalopex griseus,species
arizona black-tailed prairie dog,cynomys ludovicianus,species
asian badger,meles leucurus,species
asian elephant,elephas maximus,species
asian small-clawed otter,aonyx cinereus,species
asiatic black bear,ursus thibetanus,species
asiatic brush-tailed porcupine,atherurus macrourus,species
asiatic golden cat,catopuma temminckii,species
asiatic wild ass,equus hemionus,species
assam macaque,macaca assamensis,species
ateles species,ateles,genus
aye-aye,daubentonia madagascariensis,species
azaras's capuchin,sapajus cay,species
baboon genus,papio,genus
baird's tapir,tapirus bairdii,species
banded civet,hemigalus derbyanus,species
bandicoot,,higher
banteng,bos javanicus,species
barasingha,rucervus duvaucelii,species
barbary macaque,macaca sylvanus,species
bat-eared fox,otocyon megalotis,species
bay duiker,cephalophus dorsalis,species
bearded capuchin,sapajus libidinosus,species
bearded pig,sus barbatus,species
beaver genus,castor,genus
beech marten,martes foina,species
beisa oryx,oryx beisa,species
bighorn sheep,ovis canadensis,species
binturong,arctictis binturong,species
black and rufous sengi,rhynchocyon petersi,species
black mantle tamarin,saguinus nigricollis,species
black wildebeest,connochaetes gnou,species
black-backed jackal,canis mesomelas,species
black-faced black spider monkey,ateles chamek,species
black-fronted duiker,cephalophus nigrifrons,species
black-handed tamarin,saguinus niger,species
black-striped wallaby,macropus dorsalis,species
black-tailed marmoset,mico melanurus,species
blackbuck,antilope cervicapra,species
blesbok,damaliscus pygargus,species
blue duiker,philantomba monticola,species
blue monkey,cercopithecus mitis,species
blue sheep,pseudois nayaur,species
bobcat,lynx rufus,species
bolivian/peruvian squirrel monkey,saimiri boliviensis,species
bongo,tragelaphus eurycerus,species
bonnet macaque,macaca radiata,species
bontebok,damaliscus pygargus,species
bornean orangutan,pongo pygmaeus,species
brazilian guinea pig,cavia aperea,species
brazilian porcupine,coendou prehensilis,species
brazilian squirrel,guerlinguetus brasiliensis,species
brown bear,ursus arctos,species
brown hyaena,parahyaena brunnea,species
brown lemur,eulemur fulvus,species
brown palm civet,paradoxurus jerdoni,species
brown-throated sloth,bradypus variegatus,species
brush-tailed rock wallaby,petrogale penicillata,species
bush dog,speothos venaticus,species
bushbuck,tragelaphus scriptus,species
bushpig,potamochoerus larvatus,species
bushy-tailed woodrat,neotoma cinerea,species
cacomistle,bassariscus sumichrasti,species
california ground squirrel,otospermophilus beecheyi,species
callicebus genus,callicebus,genus
callithrix species,callithrix,genus
canada lynx,lynx canadensis,species
cape clawless otter,aonyx capensis,species
cape fox,vulpes chama,species
cape grysbok,raphicerus melanotis,species
capybara,hydrochoerus hydrochaeris,species
caracal,caracal caracal,species
carolina flying squirrel,glaucomys sabrinus,species
cebus species,cebus,genus
cephalophus species,cephalophus,genus
cercopithecus species,cercopithecus,genus
cheetah,acinonyx jubatus,species
chequered sengi,rhynchocyon cirnei,species
chimpanzee,pan troglodytes,species
chinese ferret-badger,melogale moschata,species
chinese goral,naemorhedus griseus,species
chinese serow,capricornis milneedwardsii,species
chinkara,gazella bennettii,species
chipmunk genus,tamias,genus
chital,axis axis,species
clouded leopard,neofelis nebulosa,species
collared peccary,pecari tajacu,species
colobus species,colobus,genus
colombian white-throated capuchin,cebus capucinus,species
common duiker,sylvicapra grimmia,species
common eland,tragelaphus oryx,species
common fallow deer,dama dama,species
common long-tailed macaque,macaca fascicularis,species
common marmoset,callithrix jacchus,species
common palm civet,paradoxurus hermaphroditus,species
common palm squirrel,funambulus palmarum,species
common ringtail possum,pseudocheirus peregrinus,species
common squirrel monkey,saimiri sciureus,species
common wallaroo,macropus robustus,species
common warthog,phacochoerus africanus,species
common wildebeest,connochaetes taurinus,species
common wombat,vombatus ursinus,species
common woolly monkey,lagothrix lagotricha,species
corsac fox,vulpes corsac,species
cottontail rabbits genus,sylvilagus,genus
coyote,canis latrans,species
crab-eating fox,cerdocyon thous,species
crab-eating raccoon,procyon cancrivorus,species
cricetidae family,cricetidae,family
culpeo,lycalopex culpaeus,species
de brazza's monkey,cercopithecus neglectus,species
dent's monkey,cercopithecus denti,species
desert warthog,phacochoerus aethiopicus,species
dhole,cuon alpinus,species
diana monkey,cercopithecus diana,species
dingo,canis lupus dingo,species
domestic cat,felis catus,species
domestic cattle,bos taurus,species
domestic dog,canis familiaris,species
domestic donkey,equus asinus,species
domestic goat,capra aegagrus hircus,species
domestic horse,equus caballus,species
domestic pig,sus scrofa scrofa,species
domestic sheep,ovis aries,species
domestic water buffalo,bubalus bubalis,species
domestic water buffalo,bubalus arnee,species
dorcas gazelle,gazella dorcas,species
douglas's squirrel,tamiasciurus douglasii,species
drill,mandrillus leucophaeus,species
dromedary camel,camelus dromedarius,species
dusky langur,trachypithecus obscurus,species
eared seals,otariidae,family
eastern cottontail,sylvilagus floridanus,species
eastern fox squirrel,sciurus niger,species
eastern gorilla,gorilla beringei,species
eastern gray squirrel,sciurus carolinensis,species
eastern grey kangaroo,macropus giganteus,species
eastern lesser bamboo lemur,hapalemur griseus,species
eastern lowland olingo,bassaricyon alleni,species
eastern spotted skunk,spilogale putorius,species
eastern tree hyrax,dendrohyrax validus,species
elephant seal,mirounga,genus
elk,cervus canadensis,species
emperor tamarin,saguinus imperator,species
eulemur species,eulemur,genus
eurasian badger,meles meles,species
eurasian lynx,lynx lynx,species
eurasian otter,lutra lutra,species
eurasian red squirrel,sciurus vulgaris,species
european bison,bison bonasus,species
european hare,lepus europaeus,species
european rabbit,oryctolagus cuniculus,species
european roe deer,capreolus capreolus,species
fisher,pekania pennanti,species
