class,band,effective_pool,train_real,train_synth,test_real
opossum family,D,3199,1500,0,500
howler monkey genus,D,3206,1500,0,500
muskrat,D,3253,1500,0,500
hedgehog family,D,3296,1500,0,500
lion,D,3318,1500,0,500
muridae family,D,3371,1500,0,500
american black bear,D,3436,1500,0,500
moose,D,3508,1500,0,500
woodchuck,D,3872,1500,0,500
rattus genus,D,3954,1500,0,500
african elephant,D,4338,1500,0,500
hares and jackrabbits genus,D,4836,1500,0,500
cricetidae family,D,4917,1500,0,500
european rabbit,D,5424,1500,0,500
elk,D,5517,1500,0,500
california ground squirrel,D,5627,1500,0,500
northern raccoon,D,5840,1500,0,500
european roe deer,D,6011,1500,0,500
kangaroo family,D,6137,1500,0,500
coyote,D,6865,1500,0,500
chipmunk genus,D,6934,1500,0,500
domestic cat,D,7159,1500,0,500
red squirrel,D,7526,1500,0,500
macaque species,D,7557,1500,0,500
cottontail rabbits genus,D,7757,1500,0,500
red fox,D,8705,1500,0,500
eared seals,D,9261,1500,0,500
eurasian red squirrel,D,9929,1500,0,500
eastern cottontail,D,11456,1500,0,500
eastern fox squirrel,D,12436,1500,0,500
mule deer,D,18110,1500,0,500
white-tailed deer,D,24609,1500,0,500
eastern gray squirrel,D,31099,1500,0,500
squirrel family,D,31365,1500,0,500
