common_name,scientific_name,level,image_count,mean_confidence,min_confidence,median_confidence
grant's gazelle,nanger granti,species,240,0.863,0.651,0.892
greater kudu,tragelaphus strepsiceros,species,324,0.898,0.657,0.937
grevy's zebra,equus grevyi,species,84,0.923,0.659,0.966
grey fox,urocyon cinereoargenteus,species,421,0.929,0.654,0.968
grey wolf,canis lupus,species,33,0.881,0.702,0.922
hares and jackrabbits genus,lepus,genus,56,0.799,0.661,0.777
hartebeest,alcelaphus buselaphus,species,215,0.937,0.655,0.976
hedgehog family,erinaceidae,family,16,0.832,0.652,0.877
hippopotamus,hippopotamus amphibius,species,103,0.887,0.660,0.911
hoffmann's two-toed sloth,choloepus hoffmanni,species,0,0.000,0.000,0.000
hog badger genus,arctonyx,genus,41,0.834,0.655,0.850
honey badger,mellivora capensis,species,22,0.861,0.693,0.868
howler monkey genus,alouatta,genus,78,0.798,0.653,0.792
human,homo sapiens,species,258,0.895,0.504,0.953
impala,aepyceros melampus,species,296,0.897,0.652,0.929
jaguar,panthera onca,species,253,0.964,0.662,0.998
japanese macaque,macaca fuscata,species,0,0.000,0.000,0.000
kangaroo family,macropodidae,family,1078,0.851,0.651,0.857
kinkajou,potos flavus,species,3,0.803,0.762,0.790
kirk's dik-dik,madoqua kirkii,species,0,0.000,0.000,0.000
klipspringer,oreotragus oreotragus,species,0,0.000,0.000,0.000
koala,phascolarctos cinereus,species,27,0.836,0.667,0.851
kob,kobus kob,species,0,0.000,0.000,0.000
leaf monkeys genus,presbytis,genus,49,0.852,0.657,0.882
leopard,panthera pardus,species,165,0.923,0.661,0.962
leopard cat,prionailurus bengalensis,species,76,0.847,0.670,0.855
leopardus species,leopardus,genus,25,0.789,0.661,0.777
lion,panthera leo,species,254,0.964,0.652,0.993
llama genus,lama,genus,324,0.853,0.651,0.879
lowland tapir,tapirus terrestris,species,208,0.941,0.652,0.987
lycalopex species,lycalopex,genus,331,0.856,0.651,0.879
macaque species,macaca,genus,1452,0.865,0.651,0.882
malay tapir,tapirus indicus,species,8,0.938,0.733,0.999
maned wolf,chrysocyon brachyurus,species,51,0.949,0.768,0.972
mangabeys genus,cercocebus,genus,1,0.677,0.677,0.677
martes species,martes,genus,500,0.822,0.651,0.824
meerkat,suricata suricatta,species,0,0.000,0.000,0.000
mongoose family,herpestidae,family,106,0.788,0.654,0.786
moose,alces alces,species,147,0.975,0.660,0.999
mouflon,ovis orientalis,species,85,0.837,0.655,0.834
mountain goat,oreamnos americanus,species,1,0.752,0.752,0.752
mountain zebra,equus zebra,species,128,0.920,0.659,0.959
mule deer,odocoileus hemionus,species,360,0.924,0.652,0.976
muntjac genus,muntiacus,genus,211,0.884,0.651,0.931
muridae family,muridae,family,31,0.783,0.666,0.774
muskrat,ondatra zibethicus,species,30,0.754,0.652,0.756
nilgai,boselaphus tragocamelus,species,1,0.706,0.706,0.706
nine-banded armadillo,dasypus novemcinctus,species,218,0.945,0.651,0.968
north american porcupine,erethizon dorsatum,species,230,0.912,0.663,0.957
north american river otter,lontra canadensis,species,222,0.811,0.654,0.811
northern chamois,rupicapra rupicapra,species,175,0.895,0.652,0.936
northern raccoon,procyon lotor,species,222,0.936,0.653,0.984
nutria,myocastor coypus,species,372,0.889,0.651,0.934
nyala,tragelaphus angasii,species,0,0.000,0.000,0.000
ocelot,leopardus pardalis,species,326,0.929,0.661,0.965
old world porcupine family,hystricidae,family,123,0.867,0.653,0.889
opossum family,didelphidae,family,197,0.923,0.654,0.979
pangolin family,manidae,family,5,0.752,0.683,0.743
patas monkey,erythrocebus patas,species,0,0.000,0.000,0.000
pikas genus,ochotona,genus,99,0.814,0.651,0.798
pinniped clade,pinniped,family,0,0.000,0.000,0.000
plains zebra,equus quagga,species,309,0.946,0.654,0.962
pronghorn,antilocapra americana,species,334,0.955,0.652,0.998
puma,puma concolor,species,208,0.958,0.659,0.994
quokka,setonix brachyurus,species,6,0.783,0.666,0.798
raccoon dog,nyctereutes procyonoides,species,15,0.825,0.678,0.847
rattus genus,rattus,genus,35,0.758,0.652,0.732
red brocket,mazama americana,species,114,0.887,0.656,0.926
red deer,cervus elaphus,species,509,0.876,0.653,0.906
red fox,vulpes vulpes,species,246,0.944,0.652,0.975
red kangaroo,osphranter rufus,species,22,0.788,0.669,0.752
red panda,ailurus fulgens,species,13,0.868,0.678,0.894
red river hog,potamochoerus porcus,species,1,0.918,0.918,0.918
red squirrel,tamiasciurus hudsonicus,species,150,0.886,0.651,0.903
red-necked wallaby,macropus rufogriseus,species,61,0.843,0.672,0.845
reedbuck genus,redunca,genus,29,0.757,0.653,0.737
reindeer,rangifer tarandus,species,9,0.865,0.667,0.890
rhinoceros family,rhinocerotidae,family,72,0.802,0.653,0.806
ring-tailed lemur,lemur catta,species,0,0.000,0.000,0.000
ringtail,bassariscus astutus,species,57,0.893,0.650,0.934
roan antelope,hippotragus equinus,species,0,0.000,0.000,0.000
rock hyrax,procavia capensis,species,21,0.764,0.657,0.757
sable antelope,hippotragus niger,species,34,0.788,0.652,0.781
saguinus species,saguinus,genus,10,0.736,0.660,0.732
saiga,saiga tatarica,species,0,0.000,0.000,0.000
saimiri species,saimiri,genus,165,0.848,0.654,0.850
sambar,rusa unicolor,species,173,0.918,0.653,0.974
sea otter,enhydra lutris,species,0,0.000,0.000,0.000
serval,leptailurus serval,species,72,0.937,0.680,0.976
short-beaked echidna,tachyglossus aculeatus,species,243,0.975,0.679,0.991
sika deer,cervus nippon,species,78,0.883,0.658,0.890
sloth bear,melursus ursinus,species,0,0.000,0.000,0.000
snow leopard,panthera uncia,species,5,0.903,0.737,0.938
south american coati,nasua nasua,species,311,0.900,0.652,0.947
spectacled bear,tremarctos ornatus,species,23,0.859,0.670,0.889
spilogale species,spilogale,genus,6,0.780,0.663,0.782
spotted hyaena,crocuta crocuta,species,266,0.943,0.656,0.977
springbok,antidorcas marsupialis,species,134,0.874,0.661,0.901
squirrel family,sciuridae,family,1638,0.792,0.650,0.774
steenbok,raphicerus campestris,species,97,0.837,0.653,0.858
striped hyaena,hyaena hyaena,species,52,0.829,0.661,0.828
striped skunk,mephitis mephitis,species,228,0.894,0.652,0.927
sun bear,helarctos malayanus,species,22,0.875,0.700,0.901
swamp wallaby,wallabia bicolor,species,214,0.932,0.655,0.977
tayra,eira barbara,species,165,0.940,0.651,0.981
thomson's gazelle,eudorcas thomsonii,species,301,0.924,0.680,0.971
tiger,panthera tigris,species,170,0.990,0.747,0.999
vervet monkey,chlorocebus pygerythrus,species,373,0.910,0.651,0.957
