class,band,exp_test_count
plains zebra,D,2079
grevy's zebra,B,224
mountain zebra,D,467
red fox,D,2150
american black bear,D,2097
lion,D,2097
kinkajou,A,160
water deer,A,151
ringtail,A,186
saiga,A,50
aye-aye,A,29
pangolin family,A,52
