coco_id,class_name,group_id,group_label,group_source
188,saguinus species,148,saguinus,genus
189,saiga,149,saiga,genus
190,saimiri species,150,saimiri,genus
191,sambar,147,rusa,genus
192,sea otter,50,enhydra,genus
193,serval,76,leptailurus,genus
194,short-beaked echidna,160,tachyglossus,genus
195,sika deer,31,cervus,genus
196,sloth bear,96,melursus,genus
197,snow leopard,123,panthera_rosette,override
198,south american coati,104,nasua,genus
199,spectacled bear,167,tremarctos,genus
200,spilogale species,154,spilogale,genus
201,spotted hyaena,68,hyaena,override
202,springbok,57,gazelle,override
203,squirrel family,151,sciuridae,genus
204,steenbok,142,raphicerus,genus
205,striped hyaena,68,hyaena,override
206,striped skunk,97,mephitis,genus
207,sun bear,63,helarctos,genus
208,swamp wallaby,172,wallabia,genus
209,tayra,48,eira,genus
210,thomson's gazelle,57,gazelle,override
211,tiger,165,tiger,override
212,vervet monkey,32,chlorocebus,genus
213,walrus,109,odobenus,genus
214,water deer,70,hydropotes,genus
215,waterbuck,72,kobus,genus
216,weasel species,101,mustela,genus
217,western gray squirrel,152,sciurus,genus
218,white-nosed coati,104,nasua,genus
219,white-tailed deer,110,odocoileus,genus
220,wild boar,156,sus,genus
221,wild cat,56,felis,genus
222,wolverine,62,gulo,genus
223,woodchuck,91,marmota,genus
224,yak,15,bos,genus
225,yellow-bellied marmot,91,marmota,genus
