common_name,scientific_name,level,gbif_pass,inaturalist_pass,wikimedia_pass,openimages_pass,total_pass,total_imgs,after_buffer,status,gap,top_failure_reasons
striped hyaena,hyaena hyaena,species,31,49,1,0,81,138,65,critical,1435,quality_grade 'casual' ∉ {'research'}(15); no animal detected (conf ≥ 0.6)(5); prediction_source 'detector' (need 'classifier')(4)
maned wolf,chrysocyon brachyurus,species,43,65,0,0,108,395,86,low,1414,no animal detected (conf ≥ 0.6)(52); quality_grade 'needs_id' ∉ {'research'}(47); quality_grade 'casual' ∉ {'research'}(32)
honey badger,mellivora capensis,species,24,85,0,0,109,278,87,low,1413,no animal detected (conf ≥ 0.6)(22); prediction_source 'classifier+rollup_to_family' (need 'classifier')(15); quality_grade 'needs_id' ∉ {'research'}(14)
water deer,hydropotes inermis,species,33,76,2,0,111,334,89,low,1411,quality_grade 'needs_id' ∉ {'research'}(38); prediction_source 'classifier+rollup_to_class' (need 'classifier')(32); too small: 500×281 (min 320px on short side)(31)
walrus,odobenus rosmarus,species,0,113,6,0,119,283,95,low,1405,no animal detected (conf ≥ 0.6)(45); too small: 500×281 (min 320px on short side)(31); quality_grade 'casual' ∉ {'research'}(12)
gerenuk,litocranius walleri,species,34,93,1,0,128,222,102,low,1398,prediction_source 'classifier+rollup_to_family' (need 'classifier')(42); prediction_source 'detector' (need 'classifier')(12); prediction_source 'classifier+rollup_to_kingdom' (need 'classifier')(6)
eurasian lynx,lynx lynx,species,85,45,0,0,130,640,104,low,1396,quality_grade 'casual' ∉ {'research'}(91); no animal detected (conf ≥ 0.6)(80); quality_grade 'needs_id' ∉ {'research'}(50)
european bison,bison bonasus,species,70,60,6,0,136,480,109,low,1391,quality_grade 'casual' ∉ {'research'}(162); no animal detected (conf ≥ 0.6)(49); prediction_source 'detector' (need 'classifier')(24)
canada lynx,lynx canadensis,species,45,98,1,0,144,628,115,low,1385,too small: 500×281 (min 320px on short side)(145); no animal detected (conf ≥ 0.6)(71); quality_grade 'needs_id' ∉ {'research'}(41)
black wildebeest,connochaetes gnou,species,51,94,0,0,145,332,116,low,1384,prediction_source 'classifier+rollup_to_family' (need 'classifier')(19); prediction_source 'classifier+rollup_to_genus' (need 'classifier')(9); too small: 500×282 (min 320px on short side)(9)
red brocket,mazama americana,species,109,36,0,0,145,297,116,low,1384,quality_grade 'needs_id' ∉ {'research'}(34); prediction_source 'classifier+rollup_to_genus' (need 'classifier')(29); prediction_source 'classifier+rollup_to_family' (need 'classifier')(23)
leopard cat,prionailurus bengalensis,species,49,95,2,0,146,301,117,low,1383,prediction_source 'classifier+rollup_to_family' (need 'classifier')(35); prediction_source 'detector' (need 'classifier')(20); no animal detected (conf ≥ 0.6)(18)
patas monkey,erythrocebus patas,species,54,92,0,0,146,249,117,low,1383,prediction_source 'classifier+rollup_to_family' (need 'classifier')(27); quality_grade 'casual' ∉ {'research'}(18); prediction_source 'detector' (need 'classifier')(11)
