common_name,scientific_name,level,image_count
baird's tapir,tapirus bairdii,species,11
clouded leopard,neofelis nebulosa,species,10
spilogale species,spilogale,genus,10
reindeer,rangifer tarandus,species,9
fossa,cryptoprocta ferox,species,8
alpine marmot,marmota marmota,species,7
american mink,neovison vison,species,6
european bison,bison bonasus,species,6
pangolin family,manidae,family,6
quokka,setonix brachyurus,species,6
eulemur species,eulemur,genus,5
asiatic black bear,ursus thibetanus,species,4
ateles species,ateles,genus,4
binturong,arctictis binturong,species,3
kinkajou,potos flavus,species,3
eurasian otter,lutra lutra,species,2
cricetidae family,cricetidae,family,1
drill,mandrillus leucophaeus,species,1
mangabeys genus,cercocebus,genus,1
mountain goat,oreamnos americanus,species,1
nilgai,boselaphus tragocamelus,species,1
asiatic wild ass,equus hemionus,species,0
aye-aye,daubentonia madagascariensis,species,0
blackbuck,antilope cervicapra,species,0
bongo,tragelaphus eurycerus,species,0
brown hyaena,parahyaena brunnea,species,0
brown-throated sloth,bradypus variegatus,species,0
callicebus genus,callicebus,genus,0
callithrix species,callithrix,genus,0
domestic pig,sus scrofa scrofa,species,0
domestic water buffalo,bubalus bubalis,species,0
eared seals,otariidae,family,0
elephant seal,mirounga,genus,0
eurasian lynx,lynx lynx,species,0
hoffmann's two-toed sloth,choloepus hoffmanni,species,0
japanese macaque,macaca fuscata,species,0
kirk's dik-dik,madoqua kirkii,species,0
klipspringer,oreotragus oreotragus,species,0
kob,kobus kob,species,0
meerkat,suricata suricatta,species,0
nyala,tragelaphus angasii,species,0
patas monkey,erythrocebus patas,species,0
pinniped clade,pinniped,family,0
ring-tailed lemur,lemur catta,species,0
roan antelope,hippotragus equinus,species,0
saiga,saiga tatarica,species,0
sea otter,enhydra lutris,species,0
sloth bear,melursus ursinus,species,0
walrus,odobenus rosmarus,species,0
water deer,hydropotes inermis,species,0
yak,bos grunniens,species,0
