Scientific Name,Image Count
dendrohyrax validus,7
lagorchestes conspicillatus,18
trachypithecus cristatus,180
budorcas taxicolor,56
oryx leucoryx,44
kobus ellipsiprymnus,300
hapalemur aureus,35
tragelaphus angasii,300
equus caballus,297
hemigalus derbyanus,40
oryctolagus cuniculus,299
felis catus,300
conepatus leuconotus,215
callithrix jacchus,300
canis rufus,297
dasyurus hallucatus,87
tupaia belangeri,299
ozotoceros bezoarticus,129
anomalurus derbianus,72
helarctos malayanus,88
marmota flaviventris,300
galictis vittata,41
pan troglodytes,281
tamiasciurus hudsonicus,299
cephalophus adersi,3
leptailurus serval,150
rhinopithecus roxellana,24
priodontes maximus,38
myoprocta pratti,43
macaca assamensis,85
tamiasciurus douglasii,299
prionailurus bengalensis,237
cabassous tatouay,24
meles meles,299
macropus eugenii,123
cephalophus leucogaster,21
vulpes chama,48
eulemur rubriventer,65
neofelis diardi,3
macaca fascicularis,299
antilocapra americana,300
canis familiaris,294
hydropotes inermis,204
madoqua guentheri,93
eulemur albifrons,18
dendrohyrax dorsalis,29
vulpes corsac,28
connochaetes gnou,129
bassaricyon alleni,24
ateles chamek,58
rupicapra rupicapra,300
saimiri sciureus,299
petaurista philippensis,131
erethizon dorsatum,300
cercopithecus erythrogaster,23
ourebia ourebi,205
madoqua kirkii,292
saguinus tripartitus,11
odocoileus virginianus,300
boselaphus tragocamelus,296
rusa timorensis,172
dama dama,300
rhynchocyon udzungwensis,1
macaca leonina,300
aeromys tephromelas,19
tapirus indicus,30
cephalophus spadix,5
viverra zibetha,48
viverricula indica,182
aonyx cinereus,73
bos javanicus,54
sus barbatus,241
damaliscus pygargus,300
felis silvestris,300
galictis cuja,79
phacochoerus africanus,10
rhynchocyon chrysopygus,7
antechinus agilis,59
melursus ursinus,102
tachyglossus aculeatus,300
cebus albifrons,110
cercopithecus mitis,298
panthera pardus,300
callosciurus prevostii,300
dama mesopotamica,2
connochaetes taurinus,300
potamochoerus porcus,50
cephalophus nigrifrons,17
guerlinguetus brasiliensis,0
lynx rufus,298
ailurus fulgens,79
loxodonta africana,300
mico melanurus,43
potos flavus,294
urocyon cinereoargenteus,300
conepatus semistriatus,80
dasypus novemcinctus,299
canis latrans,299
rheithrosciurus macrotis,5
camelus dromedarius,252
cercopithecus cephus,89
puma concolor,299
cuon alpinus,94
manis culionensis,1
dasyurus maculatus,142
lutrogale perspicillata,222
antechinus flavipes,300
bison bonasus,228
cephalophus weynsi,15
phacochoerus aethiopicus,69
cebus imitator,300
lynx pardinus,56
bison bison,300
panthera uncia,23
dasycercus blythi,3
bradypus variegatus,300
macropus dorsalis,28
sus scrofa,297
nasua narica,300
cryptoprocta ferox,39
neofelis nebulosa,33
sciurus griseus,300
pecari tajacu,299
propithecus edwardsi,43
cephalophus silvicultor,23
cerdocyon thous,298
sus ahoenobarbus,0
cephalophus natalensis,125
presbytis,300
cercocebus,111
arctonyx,42
muntiacus,299
alouatta,299
dasyprocta,300
leopardus,300
tamias,289
rattus,300
muridae,300
sciuridae,300
cricetidae,299
canis lupus dingo,31
redunca,286
rhinocerotidae,297
papio,299
genetta,298
suricata suricatta,178
herpestidae,298
lepus,287
sylvilagus,300
ochotona,300
lama,461
castor,300
hystricidae,299
erinaceidae,300
didelphidae,300
lemur catta,174
callicebus,48
pinniped,3
mustela erminea,300
mustela nivalis,300
mustela frenata,296
mustela putorius,299
mazama americana,300
leopardus pardalis,298
otospermophilus beecheyi,299
hystrix brachyura,115
hystrix indica,214
atherurus macrourus,36
ammospermophilus leucurus,300
neotoma cinerea,290
aonyx capensis,110
hydrictis maculicollis,45
raphicerus melanotis,72
antilope cervicapra,270
bos mutus,1
saiga tatarica,58
kobus kob,299
kobus leche,205
gazella subgutturosa,79
gazella bennettii,180
macaca fuscata,198
macaca sylvanus,300
cercopithecus neglectus,44
cercopithecus diana,27
colobus polykomos,29
piliocolobus badius,154
melogale moschata,64
enhydra lutris,300
axis porcinus,116
rucervus duvaucelii,76
pudu puda,36
